DayIndex,bounce,duracao,sessao,pags_sess,conv,valor,month,day,year
1/26/2018,100.00%,0,1,1,0,0,1,26,2018
1/27/2018,100.00%,0,1,1,0,0,1,27,2018
1/28/2018,100.00%,0,1,1,0,0,1,28,2018
1/29/2018,100.00%,0,1,1,0,0,1,29,2018
1/30/2018,100.00%,0,1,1,0,0,1,30,2018
1/31/2018,100.00%,0,1,1,0,0,1,31,2018
2/1/2018,100.00%,0,1,1,0,0,2,1,2018
2/2/2018,100.00%,0,1,1,0,0,2,2,2018
2/3/2018,100.00%,0,1,1,0,0,2,3,2018
2/4/2018,100.00%,0,1,1,0,0,2,4,2018
2/5/2018,100.00%,0,1,1,0,0,2,5,2018
2/6/2018,100.00%,0,1,1,0,0,2,6,2018
2/7/2018,100.00%,0,1,1,0,0,2,7,2018
2/8/2018,100.00%,0,1,1,0,0,2,8,2018
2/9/2018,100.00%,0,1,1,0,0,2,9,2018
2/10/2018,100.00%,0,1,1,0,0,2,10,2018
2/11/2018,100.00%,0,1,1,0,0,2,11,2018
2/12/2018,100.00%,0,1,1,0,0,2,12,2018
2/13/2018,100.00%,0,1,1,0,0,2,13,2018
2/14/2018,100.00%,0,1,1,0,0,2,14,2018
2/15/2018,100.00%,0,1,1,0,0,2,15,2018
2/16/2018,100.00%,0,1,1,0,0,2,16,2018
2/17/2018,100.00%,0,1,1,0,0,2,17,2018
2/18/2018,100.00%,0,1,1,0,0,2,18,2018
2/19/2018,100.00%,0,1,1,0,0,2,19,2018
2/20/2018,100.00%,0,1,1,0,0,2,20,2018
2/21/2018,100.00%,0,1,1,0,0,2,21,2018
2/22/2018,100.00%,0,1,1,0,0,2,22,2018
2/23/2018,100.00%,0,2,1,0,0,2,23,2018
2/24/2018,100.00%,0,1,1,1,50,2,24,2018
2/25/2018,100.00%,0,1,1,0,0,2,25,2018
2/26/2018,100.00%,0,1,1,0,0,2,26,2018
2/27/2018,100.00%,0,1,1,0,0,2,27,2018
2/28/2018,100.00%,0,1,1,0,0,2,28,2018
3/1/2018,100.00%,0,1,1,0,0,3,1,2018
3/2/2018,100.00%,0,1,1,0,0,3,2,2018
3/3/2018,100.00%,0,1,1,0,0,3,3,2018
3/4/2018,100.00%,0,1,1,0,0,3,4,2018
3/5/2018,100.00%,0,1,1,0,0,3,5,2018
3/6/2018,100.00%,0,1,1,0,0,3,6,2018
3/7/2018,100.00%,0,1,1,0,0,3,7,2018
3/8/2018,100.00%,0,1,1,0,0,3,8,2018
3/9/2018,100.00%,0,1,1,0,0,3,9,2018
3/10/2018,100.00%,0,1,1,0,0,3,10,2018
3/11/2018,100.00%,0,1,1,0,0,3,11,2018
3/12/2018,100.00%,0,1,1,0,0,3,12,2018
3/13/2018,100.00%,0,1,1,0,0,3,13,2018
3/14/2018,100.00%,0,2,1,0,0,3,14,2018
3/15/2018,100.00%,0,1,1,0,0,3,15,2018
3/16/2018,100.00%,0,1,1,0,0,3,16,2018
3/17/2018,100.00%,0,1,1,0,0,3,17,2018
3/18/2018,100.00%,0,1,1,0,0,3,18,2018
3/19/2018,100.00%,0,1,1,0,0,3,19,2018
3/20/2018,100.00%,0,1,1,0,0,3,20,2018
3/21/2018,100.00%,0,1,1,1,50,3,21,2018
3/22/2018,100.00%,0,1,1,1,50,3,22,2018
3/23/2018,100.00%,0,1,1,1,50,3,23,2018
3/24/2018,100.00%,0,1,1,1,50,3,24,2018
3/25/2018,100.00%,0,1,1,1,50,3,25,2018
3/26/2018,100.00%,0,1,1,1,50,3,26,2018
3/27/2018,100.00%,0,1,1,0,0,3,27,2018
3/28/2018,100.00%,0,1,1,1,50,3,28,2018
3/29/2018,100.00%,0,1,1,0,0,3,29,2018
3/30/2018,100.00%,0,1,1,1,50,3,30,2018
3/31/2018,100.00%,0,1,1,0,0,3,31,2018
4/1/2018,100.00%,0,1,1,0,0,4,1,2018
4/2/2018,100.00%,0,1,1,0,0,4,2,2018
4/3/2018,100.00%,0,1,1,0,0,4,3,2018
4/4/2018,100.00%,0,2,1,0,0,4,4,2018
4/5/2018,100.00%,0,1,1,0,0,4,5,2018
4/6/2018,100.00%,0,1,1,0,0,4,6,2018
4/7/2018,100.00%,0,1,1,0,0,4,7,2018
4/8/2018,100.00%,0,1,1,0,0,4,8,2018
4/9/2018,100.00%,0,1,1,0,0,4,9,2018
4/10/2018,100.00%,0,1,1,0,0,4,10,2018
4/11/2018,100.00%,0,1,1,0,0,4,11,2018
4/12/2018,100.00%,0,1,1,0,0,4,12,2018
4/13/2018,100.00%,0,1,1,0,0,4,13,2018
4/14/2018,100.00%,0,2,1,0,0,4,14,2018
4/15/2018,100.00%,0,1,1,0,0,4,15,2018
4/16/2018,100.00%,0,1,1,0,0,4,16,2018
4/17/2018,100.00%,0,1,1,0,0,4,17,2018
4/18/2018,100.00%,0,1,1,1,50,4,18,2018
4/19/2018,100.00%,0,1,1,1,50,4,19,2018
4/20/2018,100.00%,0,1,1,0,0,4,20,2018
4/21/2018,100.00%,0,1,1,1,50,4,21,2018
4/22/2018,100.00%,0,1,1,0,0,4,22,2018
