,rate_marriage,age,yrs_married,children,religious,educ,occupation,occupation_husb,affair
0,3.0,32.0,9.0,3.0,3.0,17.0,2.0,5.0,True
1,3.0,27.0,13.0,3.0,1.0,14.0,3.0,4.0,True
2,4.0,22.0,2.5,0.0,1.0,16.0,3.0,5.0,True
3,4.0,37.0,16.5,4.0,3.0,16.0,5.0,5.0,True
4,5.0,27.0,9.0,1.0,1.0,14.0,3.0,4.0,True
5,4.0,27.0,9.0,0.0,2.0,14.0,3.0,4.0,True
6,5.0,37.0,23.0,5.5,2.0,12.0,5.0,4.0,True
7,5.0,37.0,23.0,5.5,2.0,12.0,2.0,3.0,True
8,3.0,22.0,2.5,0.0,2.0,12.0,3.0,3.0,True
9,3.0,27.0,6.0,0.0,1.0,16.0,3.0,5.0,True
10,2.0,27.0,6.0,2.0,1.0,16.0,3.0,5.0,True
11,5.0,27.0,6.0,2.0,3.0,14.0,3.0,5.0,True
12,3.0,37.0,16.5,5.5,1.0,12.0,2.0,3.0,True
13,5.0,27.0,6.0,0.0,2.0,14.0,3.0,2.0,True
14,4.0,22.0,6.0,1.0,1.0,14.0,4.0,4.0,True
15,4.0,37.0,9.0,2.0,2.0,14.0,3.0,6.0,True
16,4.0,27.0,6.0,1.0,1.0,12.0,3.0,5.0,True
17,1.0,37.0,23.0,5.5,4.0,14.0,5.0,2.0,True
18,2.0,42.0,23.0,2.0,2.0,20.0,4.0,4.0,True
19,4.0,37.0,6.0,0.0,2.0,16.0,5.0,4.0,True
20,5.0,22.0,2.5,0.0,2.0,14.0,3.0,4.0,True
21,3.0,37.0,16.5,5.5,2.0,9.0,3.0,2.0,True
22,3.0,42.0,23.0,5.5,3.0,12.0,5.0,4.0,True
23,2.0,27.0,9.0,2.0,4.0,20.0,3.0,4.0,True
24,4.0,27.0,6.0,1.0,2.0,12.0,5.0,4.0,True
25,5.0,27.0,2.5,0.0,3.0,16.0,4.0,1.0,True
26,2.0,27.0,6.0,2.0,2.0,12.0,2.0,5.0,True
27,5.0,37.0,13.0,1.0,3.0,12.0,3.0,4.0,True
28,2.0,32.0,16.5,2.0,2.0,12.0,4.0,2.0,True
29,3.0,27.0,6.0,1.0,1.0,14.0,3.0,6.0,True
30,3.0,32.0,16.5,4.0,3.0,14.0,5.0,5.0,True
31,3.0,27.0,9.0,2.0,1.0,14.0,3.0,4.0,True
32,3.0,37.0,16.5,3.0,3.0,14.0,3.0,2.0,True
33,4.0,32.0,16.5,5.5,4.0,12.0,2.0,4.0,True
34,5.0,42.0,16.5,4.0,3.0,16.0,4.0,6.0,True
35,3.0,27.0,9.0,2.0,2.0,12.0,5.0,2.0,True
36,3.0,17.5,0.5,0.0,1.0,12.0,3.0,2.0,True
37,4.0,42.0,23.0,5.5,2.0,20.0,3.0,2.0,True
38,5.0,37.0,16.5,3.0,3.0,12.0,3.0,5.0,True
39,4.0,22.0,2.5,1.0,2.0,14.0,3.0,5.0,True
40,4.0,27.0,2.5,0.0,2.0,16.0,4.0,1.0,True
41,4.0,22.0,2.5,0.0,2.0,14.0,3.0,6.0,True
42,4.0,37.0,13.0,3.0,2.0,16.0,4.0,5.0,True
43,4.0,22.0,2.5,0.0,2.0,16.0,3.0,4.0,True
44,4.0,22.0,2.5,0.0,1.0,14.0,1.0,2.0,True
45,5.0,22.0,2.5,0.0,3.0,12.0,3.0,2.0,True
46,5.0,22.0,2.5,0.0,3.0,16.0,4.0,5.0,True
47,3.0,42.0,23.0,4.0,3.0,16.0,5.0,5.0,True
48,5.0,32.0,13.0,3.0,3.0,14.0,4.0,4.0,True
49,5.0,22.0,6.0,2.0,2.0,14.0,3.0,4.0,True
50,3.0,27.0,2.5,1.0,4.0,17.0,4.0,6.0,True
51,2.0,42.0,23.0,3.0,3.0,14.0,3.0,5.0,True
52,4.0,22.0,2.5,0.0,1.0,17.0,6.0,6.0,True
53,2.0,42.0,23.0,3.0,3.0,14.0,3.0,5.0,True
54,4.0,42.0,23.0,2.0,2.0,14.0,4.0,4.0,True
55,4.0,42.0,23.0,3.0,3.0,12.0,5.0,4.0,True
56,4.0,37.0,16.5,2.0,3.0,14.0,3.0,4.0,True
57,4.0,27.0,2.5,0.0,2.0,20.0,4.0,5.0,True
58,2.0,32.0,9.0,2.0,2.0,12.0,2.0,2.0,True
59,4.0,42.0,13.0,0.0,1.0,14.0,3.0,4.0,True
60,4.0,22.0,6.0,2.0,1.0,12.0,3.0,4.0,True
61,5.0,32.0,16.5,3.0,3.0,14.0,2.0,4.0,True
62,4.0,42.0,13.0,0.0,2.0,12.0,3.0,2.0,True
63,5.0,27.0,9.0,1.0,3.0,14.0,5.0,5.0,True
64,5.0,22.0,6.0,2.0,2.0,12.0,2.0,5.0,True
65,2.0,27.0,16.5,2.0,3.0,16.0,4.0,5.0,True
66,5.0,37.0,13.0,2.0,1.0,12.0,3.0,4.0,True
67,5.0,27.0,6.0,0.0,2.0,14.0,3.0,4.0,True
68,2.0,27.0,2.5,1.0,1.0,12.0,2.0,3.0,True
69,5.0,42.0,23.0,5.5,4.0,20.0,5.0,4.0,True
70,5.0,27.0,6.0,0.0,2.0,16.0,5.0,2.0,True
71,5.0,37.0,16.5,3.0,2.0,14.0,3.0,5.0,True
72,2.0,32.0,9.0,2.0,2.0,16.0,3.0,5.0,True
73,3.0,37.0,16.5,5.5,3.0,12.0,5.0,5.0,True
74,5.0,27.0,6.0,2.0,2.0,12.0,3.0,4.0,True
75,5.0,32.0,16.5,3.0,1.0,12.0,4.0,4.0,True
76,5.0,27.0,9.0,2.0,1.0,14.0,5.0,1.0,True
77,4.0,22.0,2.5,0.0,2.0,16.0,5.0,5.0,True
78,5.0,32.0,16.5,2.0,4.0,14.0,5.0,2.0,True
79,2.0,22.0,6.0,2.0,2.0,14.0,2.0,5.0,True
80,3.0,32.0,13.0,3.0,1.0,12.0,4.0,5.0,True
81,5.0,32.0,16.5,3.0,2.0,12.0,3.0,4.0,True
82,3.0,27.0,6.0,2.0,1.0,14.0,3.0,6.0,True
83,5.0,22.0,2.5,0.0,1.0,20.0,4.0,4.0,True
84,3.0,32.0,9.0,2.0,3.0,14.0,3.0,5.0,True
85,3.0,22.0,2.5,1.0,2.0,14.0,3.0,2.0,True
86,3.0,22.0,2.5,0.0,2.0,16.0,3.0,4.0,True
87,5.0,27.0,9.0,2.0,1.0,16.0,4.0,6.0,True
88,3.0,42.0,23.0,2.0,2.0,12.0,2.0,2.0,True
89,3.0,37.0,16.5,3.0,2.0,17.0,3.0,2.0,True
90,5.0,32.0,13.0,2.0,2.0,12.0,2.0,6.0,True
91,1.0,27.0,13.0,2.0,2.0,12.0,4.0,4.0,True
92,5.0,27.0,2.5,0.0,2.0,14.0,3.0,2.0,True
93,5.0,27.0,9.0,0.0,1.0,14.0,4.0,4.0,True
94,5.0,32.0,13.0,2.0,2.0,16.0,3.0,3.0,True
95,4.0,27.0,9.0,2.0,2.0,14.0,3.0,5.0,True
96,3.0,22.0,2.5,1.0,3.0,14.0,5.0,4.0,True
97,2.0,37.0,23.0,2.0,2.0,12.0,5.0,5.0,True
98,2.0,27.0,6.0,2.0,1.0,14.0,3.0,5.0,True
99,4.0,27.0,2.5,1.0,2.0,12.0,5.0,2.0,True
100,3.0,37.0,13.0,5.5,2.0,12.0,5.0,5.0,True
101,5.0,37.0,16.5,4.0,1.0,12.0,3.0,6.0,True
102,5.0,22.0,2.5,0.0,1.0,14.0,3.0,5.0,True
103,4.0,42.0,13.0,0.0,1.0,14.0,5.0,5.0,True
104,5.0,27.0,9.0,1.0,1.0,14.0,5.0,5.0,True
105,4.0,22.0,2.5,0.0,1.0,14.0,3.0,4.0,True
106,4.0,22.0,2.5,1.0,2.0,14.0,5.0,4.0,True
107,4.0,27.0,6.0,2.0,3.0,16.0,4.0,6.0,True
108,2.0,32.0,16.5,1.0,2.0,14.0,3.0,5.0,True
109,3.0,27.0,13.0,2.0,1.0,14.0,3.0,4.0,True
110,4.0,22.0,0.5,0.0,2.0,12.0,3.0,2.0,True
111,5.0,27.0,6.0,1.0,1.0,16.0,4.0,3.0,True
112,2.0,27.0,9.0,2.0,2.0,14.0,3.0,5.0,True
113,3.0,27.0,9.0,2.0,2.0,12.0,3.0,4.0,True
