Country,date,cases
Brazil,1/23/20,0
Brazil,1/24/20,0
Brazil,1/25/20,0
Brazil,1/26/20,0
Brazil,1/27/20,0
Brazil,1/28/20,0
Brazil,1/29/20,0
Brazil,1/30/20,0
Brazil,1/31/20,0
Brazil,2/1/20,0
Brazil,2/2/20,0
Brazil,2/3/20,0
Brazil,2/4/20,0
Brazil,2/5/20,0
Brazil,2/6/20,0
Brazil,2/7/20,0
Brazil,2/8/20,0
Brazil,2/9/20,0
Brazil,2/10/20,0
Brazil,2/11/20,0
Brazil,2/12/20,0
Brazil,2/13/20,0
Brazil,2/14/20,0
Brazil,2/15/20,0
Brazil,2/16/20,0
Brazil,2/17/20,0
Brazil,2/18/20,0
Brazil,2/19/20,0
Brazil,2/20/20,0
Brazil,2/21/20,0
Brazil,2/22/20,0
Brazil,2/23/20,0
Brazil,2/24/20,0
Brazil,2/25/20,0
Brazil,2/26/20,1
Brazil,2/27/20,0
Brazil,2/28/20,0
Brazil,2/29/20,1
Brazil,3/1/20,0
Brazil,3/2/20,0
Brazil,3/3/20,0
Brazil,3/4/20,2
Brazil,3/5/20,0
Brazil,3/6/20,9
Brazil,3/7/20,0
Brazil,3/8/20,7
Brazil,3/9/20,5
Brazil,3/10/20,6
Brazil,3/11/20,7
Brazil,3/12/20,14
Brazil,3/13/20,99
Brazil,3/14/20,0
Brazil,3/15/20,11
Brazil,3/16/20,38
Brazil,3/17/20,121
Brazil,3/18/20,51
Brazil,3/19/20,249
Brazil,3/20/20,172
Brazil,3/21/20,228
Brazil,3/22/20,525
Brazil,3/23/20,378
Brazil,3/24/20,323
Brazil,3/25/20,307
Brazil,3/26/20,431
Brazil,3/27/20,432
Brazil,3/28/20,487
Brazil,3/29/20,352
Brazil,3/30/20,323
Brazil,3/31/20,1138
Brazil,4/1/20,1119
Brazil,4/2/20,1208
Brazil,4/3/20,1012
Brazil,4/4/20,1304
Brazil,4/5/20,770
Brazil,4/6/20,1031
Brazil,4/7/20,1873
Brazil,4/8/20,2136
Brazil,4/9/20,1922
Brazil,4/10/20,1546
Brazil,4/11/20,1089
Brazil,4/12/20,1465
Brazil,4/13/20,1238
Brazil,4/14/20,1832
Brazil,4/15/20,3058
Brazil,4/16/20,2105
Brazil,4/17/20,3257
Brazil,4/18/20,2976
Brazil,4/19/20,1996
Brazil,4/20/20,2089
Brazil,4/21/20,2336
Brazil,4/22/20,2678
Brazil,4/23/20,4279
Brazil,4/24/20,4007
Brazil,4/25/20,5281
Brazil,4/26/20,3776
Brazil,4/27/20,4346
Brazil,4/28/20,5789
Brazil,4/29/20,6450
Brazil,4/30/20,7502
Brazil,5/1/20,5015
Brazil,5/2/20,4898
Brazil,5/3/20,4726
Brazil,5/4/20,6794
Brazil,5/5/20,6835
Brazil,5/6/20,11156
Brazil,5/7/20,9162
Brazil,5/8/20,11121
Brazil,5/9/20,9167
Brazil,5/10/20,6638
Brazil,5/11/20,6895
Brazil,5/12/20,8620
Brazil,5/13/20,11923
Brazil,5/14/20,13028
Brazil,5/15/20,17126
Brazil,5/16/20,13220
Brazil,5/17/20,7569
Brazil,5/18/20,14288
Brazil,5/19/20,16517
Brazil,5/20/20,19694
Brazil,5/21/20,18508
Brazil,5/22/20,20803
Brazil,5/23/20,16508
Brazil,5/24/20,15813
Brazil,5/25/20,11687
Brazil,5/26/20,16324
Brazil,5/27/20,20599
Brazil,5/28/20,26417
Brazil,5/29/20,26928
Brazil,5/30/20,33274
Brazil,5/31/20,16409
Brazil,6/1/20,11598
Brazil,6/2/20,28936
Brazil,6/3/20,28633
Brazil,6/4/20,30925
Brazil,6/5/20,30830
Brazil,6/6/20,27075
Brazil,6/7/20,18912
Brazil,6/8/20,15654
Brazil,6/9/20,32091
Brazil,6/10/20,32913
Brazil,6/11/20,30412
Brazil,6/12/20,25982
Brazil,6/13/20,21704
Brazil,6/14/20,17110
Brazil,6/15/20,20647
Brazil,6/16/20,34918
Brazil,6/17/20,32188
Brazil,6/18/20,22765
Brazil,6/19/20,54771
Brazil,6/20/20,34666
Brazil,6/21/20,15762
Brazil,6/22/20,23129
Brazil,6/23/20,39436
Brazil,6/24/20,42725
Brazil,6/25/20,39483
Brazil,6/26/20,46860
Brazil,6/27/20,38693
Brazil,6/28/20,30476
Brazil,6/29/20,24052
Brazil,6/30/20,33846
Brazil,7/1/20,46712
Brazil,7/2/20,48105
Brazil,7/3/20,42223
Brazil,7/4/20,37923
Brazil,7/5/20,26051
Brazil,7/6/20,20229
Brazil,7/7/20,45305
Brazil,7/8/20,44571
Brazil,7/9/20,42619
Brazil,7/10/20,45048
Brazil,7/11/20,39023
Brazil,7/12/20,24831
Brazil,7/13/20,20286
Brazil,7/14/20,41857
Brazil,7/15/20,39924
Brazil,7/16/20,45403
Brazil,7/17/20,34177
Brazil,7/18/20,28532
Brazil,7/19/20,23529
Brazil,7/20/20,20257
Brazil,7/21/20,41008
Brazil,7/22/20,67860
Brazil,7/23/20,59961
Brazil,7/24/20,55891
Brazil,7/25/20,51147
Brazil,7/26/20,24578
Brazil,7/27/20,23284
Brazil,7/28/20,40816
Brazil,7/29/20,69074
Brazil,7/30/20,57837
Brazil,7/31/20,52383
Brazil,8/1/20,45392
Brazil,8/2/20,25800
Brazil,8/3/20,16641
Brazil,8/4/20,51603
Brazil,8/5/20,57152
Brazil,8/6/20,53139
Brazil,8/7/20,50230
Brazil,8/8/20,49970
Brazil,8/9/20,23010
Brazil,8/10/20,22048
Brazil,8/11/20,52160
Brazil,8/12/20,55155
Brazil,8/13/20,60091
Brazil,8/14/20,50644
Brazil,8/15/20,41576
Brazil,8/16/20,23101
Brazil,8/17/20,19373
Brazil,8/18/20,47784
Brazil,8/19/20,49298
Brazil,8/20/20,45323
Brazil,8/21/20,30355
Brazil,8/22/20,50032
Brazil,8/23/20,23421
Brazil,8/24/20,17078
Brazil,8/25/20,47134
Brazil,8/26/20,47161
Brazil,8/27/20,44235
Brazil,8/28/20,43412
Brazil,8/29/20,41350
Brazil,8/30/20,16158
Brazil,8/31/20,45961
