Country,date,Brazil
Brazil,1/23/20,0
Brazil,1/24/20,0
Brazil,1/25/20,0
Brazil,1/26/20,0
Brazil,1/27/20,0
Brazil,1/28/20,0
Brazil,1/29/20,0
Brazil,1/30/20,0
Brazil,1/31/20,0
Brazil,2/1/20,0
Brazil,2/2/20,0
Brazil,2/3/20,0
Brazil,2/4/20,0
Brazil,2/5/20,0
Brazil,2/6/20,0
Brazil,2/7/20,0
Brazil,2/8/20,0
Brazil,2/9/20,0
Brazil,2/10/20,0
Brazil,2/11/20,0
Brazil,2/12/20,0
Brazil,2/13/20,0
Brazil,2/14/20,0
Brazil,2/15/20,0
Brazil,2/16/20,0
Brazil,2/17/20,0
Brazil,2/18/20,0
Brazil,2/19/20,0
Brazil,2/20/20,0
Brazil,2/21/20,0
Brazil,2/22/20,0
Brazil,2/23/20,0
Brazil,2/24/20,0
Brazil,2/25/20,0
Brazil,2/26/20,0
Brazil,2/27/20,0
Brazil,2/28/20,0
Brazil,2/29/20,0
Brazil,3/1/20,0
Brazil,3/2/20,0
Brazil,3/3/20,0
Brazil,3/4/20,0
Brazil,3/5/20,0
Brazil,3/6/20,0
Brazil,3/7/20,0
Brazil,3/8/20,0
Brazil,3/9/20,0
Brazil,3/10/20,0
Brazil,3/11/20,0
Brazil,3/12/20,0
Brazil,3/13/20,0
Brazil,3/14/20,0
Brazil,3/15/20,0
Brazil,3/16/20,0
Brazil,3/17/20,1
Brazil,3/18/20,2
Brazil,3/19/20,3
Brazil,3/20/20,5
Brazil,3/21/20,4
Brazil,3/22/20,10
Brazil,3/23/20,9
Brazil,3/24/20,12
Brazil,3/25/20,13
Brazil,3/26/20,18
Brazil,3/27/20,15
Brazil,3/28/20,19
Brazil,3/29/20,25
Brazil,3/30/20,23
Brazil,3/31/20,42
Brazil,4/1/20,39
Brazil,4/2/20,84
Brazil,4/3/20,35
Brazil,4/4/20,86
Brazil,4/5/20,41
Brazil,4/6/20,78
Brazil,4/7/20,122
Brazil,4/8/20,133
Brazil,4/9/20,131
Brazil,4/10/20,107
Brazil,4/11/20,67
Brazil,4/12/20,99
Brazil,4/13/20,105
Brazil,4/14/20,204
Brazil,4/15/20,204
Brazil,4/16/20,188
Brazil,4/17/20,217
Brazil,4/18/20,213
Brazil,4/19/20,108
Brazil,4/20/20,125
Brazil,4/21/20,154
Brazil,4/22/20,165
Brazil,4/23/20,425
Brazil,4/24/20,373
Brazil,4/25/20,353
Brazil,4/26/20,229
Brazil,4/27/20,317
Brazil,4/28/20,480
Brazil,4/29/20,430
Brazil,4/30/20,493
Brazil,5/1/20,406
Brazil,5/2/20,349
Brazil,5/3/20,290
Brazil,5/4/20,316
Brazil,5/5/20,571
Brazil,5/6/20,650
Brazil,5/7/20,602
Brazil,5/8/20,827
Brazil,5/9/20,639
Brazil,5/10/20,467
Brazil,5/11/20,530
Brazil,5/12/20,808
Brazil,5/13/20,779
Brazil,5/14/20,759
Brazil,5/15/20,963
Brazil,5/16/20,700
Brazil,5/17/20,456
Brazil,5/18/20,735
Brazil,5/19/20,1130
Brazil,5/20/20,876
Brazil,5/21/20,1188
Brazil,5/22/20,1001
Brazil,5/23/20,965
Brazil,5/24/20,653
Brazil,5/25/20,807
Brazil,5/26/20,1039
Brazil,5/27/20,1086
Brazil,5/28/20,1156
Brazil,5/29/20,1124
Brazil,5/30/20,956
Brazil,5/31/20,480
Brazil,6/1/20,623
Brazil,6/2/20,1262
Brazil,6/3/20,1349
Brazil,6/4/20,1473
Brazil,6/5/20,1005
Brazil,6/6/20,904
Brazil,6/7/20,525
Brazil,6/8/20,679
Brazil,6/9/20,1272
Brazil,6/10/20,1274
Brazil,6/11/20,1239
Brazil,6/12/20,909
Brazil,6/13/20,892
Brazil,6/14/20,612
Brazil,6/15/20,627
Brazil,6/16/20,1282
Brazil,6/17/20,1269
Brazil,6/18/20,1238
Brazil,6/19/20,1206
Brazil,6/20/20,1022
Brazil,6/21/20,615
Brazil,6/22/20,680
Brazil,6/23/20,1374
Brazil,6/24/20,1185
Brazil,6/25/20,1141
Brazil,6/26/20,990
Brazil,6/27/20,1109
Brazil,6/28/20,552
Brazil,6/29/20,692
Brazil,6/30/20,1280
Brazil,7/1/20,1038
Brazil,7/2/20,1252
Brazil,7/3/20,1290
Brazil,7/4/20,1091
Brazil,7/5/20,602
Brazil,7/6/20,620
Brazil,7/7/20,1254
Brazil,7/8/20,1223
Brazil,7/9/20,1220
Brazil,7/10/20,1214
Brazil,7/11/20,1071
Brazil,7/12/20,631
Brazil,7/13/20,733
Brazil,7/14/20,1300
Brazil,7/15/20,1233
Brazil,7/16/20,1322
Brazil,7/17/20,1163
Brazil,7/18/20,921
Brazil,7/19/20,716
Brazil,7/20/20,632
Brazil,7/21/20,1367
Brazil,7/22/20,1284
Brazil,7/23/20,1311
Brazil,7/24/20,1156
Brazil,7/25/20,1211
Brazil,7/26/20,555
Brazil,7/27/20,614
Brazil,7/28/20,921
Brazil,7/29/20,1595
Brazil,7/30/20,1129
Brazil,7/31/20,1212
Brazil,8/1/20,1088
Brazil,8/2/20,541
Brazil,8/3/20,561
Brazil,8/4/20,1154
Brazil,8/5/20,1437
Brazil,8/6/20,1237
Brazil,8/7/20,1079
Brazil,8/8/20,905
Brazil,8/9/20,572
Brazil,8/10/20,703
Brazil,8/11/20,1274
Brazil,8/12/20,1175
Brazil,8/13/20,1262
Brazil,8/14/20,1060
Brazil,8/15/20,709
Brazil,8/16/20,620
Brazil,8/17/20,684
Brazil,8/18/20,1352
Brazil,8/19/20,1212
Brazil,8/20/20,1204
Brazil,8/21/20,1054
Brazil,8/22/20,892
Brazil,8/23/20,494
Brazil,8/24/20,565
Brazil,8/25/20,1271
Brazil,8/26/20,1085
Brazil,8/27/20,984
Brazil,8/28/20,855
Brazil,8/29/20,758
Brazil,8/30/20,566
Brazil,8/31/20,553
Brazil,9/1/20,1215
Brazil,9/2/20,1184
Brazil,9/3/20,834
Brazil,9/4/20,888
Brazil,9/5/20,701
Brazil,9/6/20,447
Brazil,9/7/20,310
