date,Brazil,India,US
1/23/20,0,0,0
1/24/20,0,0,0
1/25/20,0,0,0
1/26/20,0,0,0
1/27/20,0,0,0
1/28/20,0,0,0
1/29/20,0,0,0
1/30/20,0,0,0
1/31/20,0,0,0
2/1/20,0,0,0
2/2/20,0,0,0
2/3/20,0,0,0
2/4/20,0,0,0
2/5/20,0,0,0
2/6/20,0,0,0
2/7/20,0,0,0
2/8/20,0,0,0
2/9/20,0,0,0
2/10/20,0,0,0
2/11/20,0,0,0
2/12/20,0,0,0
2/13/20,0,0,0
2/14/20,0,0,0
2/15/20,0,0,0
2/16/20,0,0,0
2/17/20,0,0,0
2/18/20,0,0,0
2/19/20,0,0,0
2/20/20,0,0,0
2/21/20,0,0,0
2/22/20,0,0,0
2/23/20,0,0,0
2/24/20,0,0,0
2/25/20,0,0,0
2/26/20,0,0,0
2/27/20,0,0,0
2/28/20,0,0,0
2/29/20,0,0,1
3/1/20,0,0,0
3/2/20,0,0,5
3/3/20,0,0,1
3/4/20,0,0,4
3/5/20,0,0,1
3/6/20,0,0,2
3/7/20,0,0,3
3/8/20,0,0,4
3/9/20,0,0,1
3/10/20,0,0,6
3/11/20,0,1,5
3/12/20,0,0,10
3/13/20,0,1,8
3/14/20,0,0,7
3/15/20,0,0,12
3/16/20,0,0,27
3/17/20,1,1,37
3/18/20,2,0,60
3/19/20,3,1,72
3/20/20,5,1,106
3/21/20,4,-1,103
3/22/20,10,3,128
3/23/20,9,3,189
3/24/20,12,0,241
3/25/20,13,2,336
3/26/20,18,8,416
3/27/20,15,0,519
3/28/20,19,4,673
3/29/20,25,3,592
3/30/20,23,5,711
3/31/20,42,3,1082
4/1/20,39,23,1275
4/2/20,84,14,1515
4/3/20,35,0,1406
4/4/20,86,14,1609
4/5/20,41,13,1632
4/6/20,78,37,1737
4/7/20,122,14,2571
4/8/20,133,28,2153
4/9/20,131,48,2215
4/10/20,107,20,2188
4/11/20,67,42,2138
4/12/20,99,43,1892
4/13/20,105,27,1982
4/14/20,204,35,2453
4/15/20,204,12,2591
4/16/20,188,43,2198
4/17/20,217,38,2113
4/18/20,213,35,1940
4/19/20,108,38,1989
4/20/20,125,33,2244
4/21/20,154,53,2459
4/22/20,165,36,2473
4/23/20,425,40,2435
4/24/20,373,59,2178
4/25/20,353,45,1724
4/26/20,229,56,1413
4/27/20,317,58,1495
4/28/20,480,69,2228
4/29/20,430,71,2398
4/30/20,493,75,2181
5/1/20,406,69,1911
5/2/20,349,100,1735
5/3/20,290,68,1199
5/4/20,316,175,1377
5/5/20,571,127,2207
5/6/20,650,92,2321
5/7/20,602,104,1919
5/8/20,827,96,1759
5/9/20,639,116,1469
5/10/20,467,111,991
5/11/20,530,82,1037
5/12/20,808,121,1597
5/13/20,779,136,1723
5/14/20,759,98,1775
5/15/20,963,104,1665
5/16/20,700,118,1201
5/17/20,456,154,829
5/18/20,735,131,1228
5/19/20,1130,146,1452
5/20/20,876,132,1499
5/21/20,1188,150,1187
5/22/20,1001,142,1225
5/23/20,965,142,1080
5/24/20,653,156,640
5/25/20,807,148,598
5/26/20,1039,172,678
5/27/20,1086,190,1453
5/28/20,1156,177,1093
5/29/20,1124,269,1126
5/30/20,956,205,954
5/31/20,480,223,618
6/1/20,623,200,768
6/2/20,1262,221,981
6/3/20,1349,259,1007
6/4/20,1473,275,998
6/5/20,1005,286,889
6/6/20,904,297,642
6/7/20,525,261,460
6/8/20,679,266,508
6/9/20,1272,277,908
6/10/20,1274,352,877
6/11/20,1239,396,826
6/12/20,909,386,827
6/13/20,892,311,739
6/14/20,612,325,344
6/15/20,627,380,398
6/16/20,1282,2003,810
6/17/20,1269,334,739
6/18/20,1238,336,691
6/19/20,1206,375,629
6/20/20,1022,306,556
6/21/20,615,445,320
6/22/20,680,312,406
6/23/20,1374,465,748
6/24/20,1185,418,737
6/25/20,1141,407,538
6/26/20,990,384,628
6/27/20,1109,410,507
6/28/20,552,380,316
6/29/20,692,418,386
6/30/20,1280,507,555
7/1/20,1038,434,700
7/2/20,1252,379,710
7/3/20,1290,442,670
7/4/20,1091,613,315
7/5/20,602,425,326
7/6/20,620,466,377
7/7/20,1254,483,1159
7/8/20,1223,487,822
7/9/20,1220,475,1019
7/10/20,1214,519,814
7/11/20,1071,550,729
7/12/20,631,501,472
7/13/20,733,553,447
7/14/20,1300,582,915
7/15/20,1233,605,981
7/16/20,1322,688,952
7/17/20,1163,671,924
7/18/20,921,543,857
7/19/20,716,681,485
7/20/20,632,585,562
7/21/20,1367,650,1085
7/22/20,1284,1129,1223
7/23/20,1311,740,1068
7/24/20,1156,757,1104
7/25/20,1211,702,932
7/26/20,555,711,531
7/27/20,614,637,1127
7/28/20,921,785,1331
7/29/20,1595,762,1408
7/30/20,1129,763,1236
7/31/20,1212,793,1237
8/1/20,1088,853,1087
8/2/20,541,771,438
8/3/20,561,803,583
8/4/20,1154,857,1284
8/5/20,1437,904,1440
8/6/20,1237,886,1237
8/7/20,1079,933,1243
8/8/20,905,861,1070
8/9/20,572,1007,521
8/10/20,703,871,634
8/11/20,1274,834,1024
8/12/20,1175,942,1504
8/13/20,1262,1007,1064
8/14/20,1060,996,1337
8/15/20,709,944,1000
8/16/20,620,941,615
8/17/20,684,876,493
8/18/20,1352,1091,1227
8/19/20,1212,978,1335
8/20/20,1204,983,1105
8/21/20,1054,945,1083
8/22/20,892,912,909
8/23/20,494,836,546
8/24/20,565,848,476
8/25/20,1271,967,1223
8/26/20,1085,1115,1162
8/27/20,984,1057,1113
8/28/20,855,1021,975
8/29/20,758,948,916
8/30/20,566,971,441
8/31/20,553,819,542
9/1/20,1215,1045,1027
9/2/20,1184,1043,1073
9/3/20,834,1096,1030
9/4/20,888,1089,957
9/5/20,701,1065,757
9/6/20,447,1016,469
9/7/20,310,1133,314
9/8/20,504,1115,457
9/9/20,1075,1172,1159
9/10/20,983,1209,922
9/11/20,874,1201,1154
9/12/20,814,1114,710
9/13/20,415,1136,428
9/14/20,381,1054,434
9/15/20,1113,1290,1199
9/16/20,987,1132,957
9/17/20,829,1174,857
9/18/20,858,1247,889
9/19/20,739,1133,730
9/20/20,363,1130,267
9/21/20,377,1053,424
9/22/20,833,1085,1028
9/23/20,0,1129,1062
9/24/20,1703,1141,898
9/25/20,729,1089,941
9/26/20,869,1124,769
9/27/20,335,1039,315
9/28/20,317,776,356
9/29/20,863,1179,863
9/30/20,1031,1181,954
10/1/20,728,1095,869
10/2/20,0,1069,854
10/3/20,1307,940,683
10/4/20,365,903,374
10/5/20,323,884,483
10/6/20,819,986,685
10/7/20,734,971,917
10/8/20,729,964,991
10/9/20,682,926,969
10/10/20,559,918,659
10/11/20,290,816,471
10/12/20,201,706,399
10/13/20,309,730,800
10/14/20,749,680,987
10/15/20,713,895,837
10/16/20,754,837,944
10/17/20,461,1033,766
10/18/20,0,579,491
10/19/20,501,587,483
10/20/20,661,717,925
10/21/20,566,702,1123
10/22/20,497,690,891
10/23/20,571,650,963
10/24/20,432,578,954
10/25/20,231,480,461
10/26/20,263,488,533
10/27/20,549,508,972
