"Timestamp","Qual foi sua pontualidade?","Qual seu nível de concentração na aula?","Qual seu nível de uso do material disponível no sistema online?","Comunicação com professor(a)","Qual seu sentimento com relação a programação agora após o final do curso?","Você acredita que programação tem um papel relevante na análise de dados?","Como você avalia a evolução do seu Raciocínio Lógico  após o curso?","Como você avalia a evolução do seu Raciocínio Matemático após o curso?","Após o curso, como você avalia sua capacidade de analisar dados, por exemplo interpretar gráficos e dados publicados pela mídia?","Após o curso, qual sua percepção sobre Inteligência Artificial (IA) e aprendizado de máquina (ML) ?","Concluído o curso, como você avalia a evolução da sua habilidade em programação?","Ano","Curso","Qual foi a sua pontualidade?","Qual foi seu nível de concentração na aula?","Como foi feita a comunicação com professor(a)?","Concluído o curso, como você avalia a sua motivacao com relacao a programação?","Após o curso, quão bom você avalia seu raciocínio lógico?","Apos o curso, qual o seu nível de facilidade com as disciplinas exatas, como matemática?","Após o curso, quão bom você avalia seu raciocínio matemático?","Após o curso, qual o seu nível de facilidade em analisar dados e gráficos divulgados pela mídia ?","Após o curso, quanto você consegue abstrair?","Após o curso, quanto você consegue seguir um algoritmo?","Após o curso, quão relevante você acha conhecimentos de programação para a sociedade?","Após o curso, quão relevante você acha conhecimentos de programação para o seu curso?","Após o curso, quão relevante você acha conhecimentos de programação para a análise de dados?","Após o curso, quão bem você pôde usar ferramentas e técnicas computacionais necessárias para o desenvolvimento do seu curso?","Após o curso, quão aplicável você acha que Inteligência Artificial (IA) e Machine Learning (ML) é para sociedade?","Concluído o curso, como você avalia seu nivel de interesse com relaao programação?","rac_logico","rac_matematico","dados_graficos","IA_ML","relevancia","sentimento_fim","prog_ava","logico","matematico","ana_dados","ia","habilidade"
2020-11-30 08:54:06,"Dentro dos 15 min. de tolerância","Fico atento e focado no conteúdo apresentado","Acesso algumas vezes, mas não cheguei a estudar o material publicado","Me comuniquei mais de maneira eletrônica, estava atento as comunicações enviadas por e-mail e Integrees. E sempre que precisei acionei o professor por e-mail, recebendo uma resposta.","Tinha certa dificuldade, mas meu empenho no curso deu bons resultados","São imprescindíveis, em particular quando se deseja processar maiores volumes de dados e realizar análises mais complexasSão imprescindíveis, em particular quando se deseja processar maiores volumes de dados e realizar análises mais complexas","Se tornou mais fluido, e tem me auxiliado em outras disciplinas","Se tornou mais fluido, e tem me auxiliado em outras disciplinas","Tenho facilidade em construir meus próprios gráficos e análises em uma quantidade de dados que consiga manipular em uma ferramenta como Excel","Imprescindível para a sociedade da informação que vivemos hoje, e pode ser utilizada por pessoas não técnica.","Não sabia nada, e realizando as atividades, me sinto hoje apto a produzir códigos simples","2020/2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Se tornou mais fluido, e tem me auxiliado em outras disciplinas","Se tornou mais fluido, e tem me auxiliado em outras disciplinas","Tenho facilidade em construir meus próprios gráficos e análises em uma quantidade de dados que consiga manipular em uma ferramenta como Excel","Imprescindível para a sociedade da informação que vivemos hoje, e pode ser utilizada por pessoas não técnica.","São imprescindíveis, em particular quando se deseja processar maiores volumes de dados e realizar análises mais complexasSão imprescindíveis, em particular quando se deseja processar maiores volumes de dados e realizar análises mais complexas","Tinha certa dificuldade, mas meu empenho no curso deu bons resultados","Não sabia nada, e realizando as atividades, me sinto hoje apto a produzir códigos simples",2,2,2,2,1
2020-11-30 09:23:09,"Britânica, conectado as 7h30 ou 13h10","Fico focado no conteúdo e participo ativamente colocando dúvidas e opiniões.","Acesso frequentemente o Integrees, lendo todo material publicado.","Me comuniquei mais de maneira eletrônica, estava atento as comunicações enviadas por e-mail e Integrees. E sempre que precisei acionei o professor por e-mail, recebendo uma resposta.","Tinha certa dificuldade, mas meu empenho no curso deu bons resultados","São imprescindíveis, em particular quando se deseja processar maiores volumes de dados e realizar análises mais complexasSão imprescindíveis, em particular quando se deseja processar maiores volumes de dados e realizar análises mais complexas","Se tornou mais fluido, e tem me auxiliado em outras disciplinas","Se tornou mais fluido, e tem me auxiliado em outras disciplinas","Consigo realizar análises sofisticadas em grandes volumes de dados, muitas vezes utilizando mais de uma ferramenta","Imprescindível para a sociedade da informação que vivemos hoje, e pode ser utilizada por pessoas não técnica.","Absorvi bem e estou já visualizando como aplicar em outras disciplinas","2020/2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Se tornou mais fluido, e tem me auxiliado em outras disciplinas","Se tornou mais fluido, e tem me auxiliado em outras disciplinas","Consigo realizar análises sofisticadas em grandes volumes de dados, muitas vezes utilizando mais de uma ferramenta","Imprescindível para a sociedade da informação que vivemos hoje, e pode ser utilizada por pessoas não técnica.","São imprescindíveis, em particular quando se deseja processar maiores volumes de dados e realizar análises mais complexasSão imprescindíveis, em particular quando se deseja processar maiores volumes de dados e realizar análises mais complexas","Tinha certa dificuldade, mas meu empenho no curso deu bons resultados","Absorvi bem e estou já visualizando como aplicar em outras disciplinas",2,2,4,2,2
2020-11-30 10:15:00,"Britânica, conectado as 7h30 ou 13h10","Fico entretido com algum outro material nos computadores de aula ou meu celular","Acesso frequentemente o Integrees, lendo todo material publicado.","Interagi bastante com professor durante as aulas teóricas. E principalmente utilizei bem o suporte nas aulas de orientação.","Tinha certa dificuldade, mas meu empenho no curso deu bons resultados","Sim, na maioria dos casos é inclusive mais fácil de utilizar de que ferramentas como Excel, uma vez que você adquire alguma fluência na linguagemSim, na maioria dos casos é inclusive mais fácil de utilizar de que ferramentas como Excel, uma vez que você adquire alguma fluência na linguagem","Demanda muita concentração, mas deduzo conclusões","Demanda muita concentração, mas deduzo conclusões","Tenho facilidade em construir meus próprios gráficos e análises em uma quantidade de dados que consiga manipular em uma ferramenta como Excel","Imprescindível para a sociedade da informação que vivemos hoje, e pode ser utilizada por pessoas não técnica.","Não sabia nada, e realizando as atividades, me sinto hoje apto a produzir códigos simples","2020/2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Demanda muita concentração, mas deduzo conclusões","Demanda muita concentração, mas deduzo conclusões","Tenho facilidade em construir meus próprios gráficos e análises em uma quantidade de dados que consiga manipular em uma ferramenta como Excel","Imprescindível para a sociedade da informação que vivemos hoje, e pode ser utilizada por pessoas não técnica.","Sim, na maioria dos casos é inclusive mais fácil de utilizar de que ferramentas como Excel, uma vez que você adquire alguma fluência na linguagemSim, na maioria dos casos é inclusive mais fácil de utilizar de que ferramentas como Excel, uma vez que você adquire alguma fluência na linguagem","Tinha certa dificuldade, mas meu empenho no curso deu bons resultados","Não sabia nada, e realizando as atividades, me sinto hoje apto a produzir códigos simples",1,1,2,2,1
2020-11-30 11:47:10,"Dentro dos 15 min. de tolerância","Fico entretido com algum outro material nos computadores de aula ou meu celular","Acesso algumas vezes, mas não cheguei a estudar o material publicado","Me comuniquei mais de maneira eletrônica, estava atento as comunicações enviadas por e-mail e Integrees. E sempre que precisei acionei o professor por e-mail, recebendo uma resposta.","Continuo com pavor","Sim, na maioria dos casos é inclusive mais fácil de utilizar de que ferramentas como Excel, uma vez que você adquire alguma fluência na linguagemSim, na maioria dos casos é inclusive mais fácil de utilizar de que ferramentas como Excel, uma vez que você adquire alguma fluência na linguagem","Demanda muita concentração, mas deduzo conclusões","Demanda muita concentração, mas deduzo conclusões","Tenho facilidade em construir meus próprios gráficos e análises em uma quantidade de dados que consiga manipular em uma ferramenta como Excel","Imprescindível para a sociedade da informação que vivemos hoje, e pode ser utilizada por pessoas não técnica.","Não sabia nada, e realizando as atividades, me sinto hoje apto a produzir códigos simples","2020/2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Demanda muita concentração, mas deduzo conclusões","Demanda muita concentração, mas deduzo conclusões","Tenho facilidade em construir meus próprios gráficos e análises em uma quantidade de dados que consiga manipular em uma ferramenta como Excel","Imprescindível para a sociedade da informação que vivemos hoje, e pode ser utilizada por pessoas não técnica.","Sim, na maioria dos casos é inclusive mais fácil de utilizar de que ferramentas como Excel, uma vez que você adquire alguma fluência na linguagemSim, na maioria dos casos é inclusive mais fácil de utilizar de que ferramentas como Excel, uma vez que você adquire alguma fluência na linguagem","Continuo com pavor","Não sabia nada, e realizando as atividades, me sinto hoje apto a produzir códigos simples",1,1,2,2,1
2020-11-30 12:01:40,"Britânica, conectado as 7h30 ou 13h10","Fico entretido com algum outro material nos computadores de aula ou meu celular","Acesso algumas vezes, mas não cheguei a estudar o material publicado","Me comuniquei mais de maneira eletrônica, estava atento as comunicações enviadas por e-mail e Integrees. E sempre que precisei acionei o professor por e-mail, recebendo uma resposta.","Tinha certa dificuldade, mas meu empenho no curso deu bons resultados","Sim, na maioria dos casos é inclusive mais fácil de utilizar de que ferramentas como Excel, uma vez que você adquire alguma fluência na linguagemSim, na maioria dos casos é inclusive mais fácil de utilizar de que ferramentas como Excel, uma vez que você adquire alguma fluência na linguagem","Demanda muita concentração, mas deduzo conclusões","Demanda muita concentração, mas deduzo conclusões","Consigo fazer análises em grandes volumes de dados com uso de ferramentas de programação, mesmo que comandos simples da linguagem","Algo que pode ser útil nos dias de hoje, mas muito complexo, devendo ser utilizada por apenas profissionais de tecnologia","Não sabia nada, e realizando as atividades, me sinto hoje apto a produzir códigos simples","2020/2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Demanda muita concentração, mas deduzo conclusões","Demanda muita concentração, mas deduzo conclusões","Consigo fazer análises em grandes volumes de dados com uso de ferramentas de programação, mesmo que comandos simples da linguagem","Algo que pode ser útil nos dias de hoje, mas muito complexo, devendo ser utilizada por apenas profissionais de tecnologia","Sim, na maioria dos casos é inclusive mais fácil de utilizar de que ferramentas como Excel, uma vez que você adquire alguma fluência na linguagemSim, na maioria dos casos é inclusive mais fácil de utilizar de que ferramentas como Excel, uma vez que você adquire alguma fluência na linguagem","Tinha certa dificuldade, mas meu empenho no curso deu bons resultados","Não sabia nada, e realizando as atividades, me sinto hoje apto a produzir códigos simples",1,1,3,0,1
2020-11-30 12:14:23,"Britânica, conectado as 7h30 ou 13h10","Fico entretido com algum outro material nos computadores de aula ou meu celular","Acesso algumas vezes, mas não cheguei a estudar o material publicado","Me comuniquei mais de maneira eletrônica, estava atento as comunicações enviadas por e-mail e Integrees. E sempre que precisei acionei o professor por e-mail, recebendo uma resposta.","Tinha certa dificuldade, mas meu empenho no curso deu bons resultados","Sim, na maioria dos casos é inclusive mais fácil de utilizar de que ferramentas como Excel, uma vez que você adquire alguma fluência na linguagemSim, na maioria dos casos é inclusive mais fácil de utilizar de que ferramentas como Excel, uma vez que você adquire alguma fluência na linguagem","Demanda muita concentração, mas deduzo conclusões","Demanda muita concentração, mas deduzo conclusões","Consigo fazer análises em grandes volumes de dados com uso de ferramentas de programação, mesmo que comandos simples da linguagem","Algo que pode ser útil nos dias de hoje, mas muito complexo, devendo ser utilizada por apenas profissionais de tecnologia","Não sabia nada, e realizando as atividades, me sinto hoje apto a produzir códigos simples","2020/2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Demanda muita concentração, mas deduzo conclusões","Demanda muita concentração, mas deduzo conclusões","Consigo fazer análises em grandes volumes de dados com uso de ferramentas de programação, mesmo que comandos simples da linguagem","Algo que pode ser útil nos dias de hoje, mas muito complexo, devendo ser utilizada por apenas profissionais de tecnologia","Sim, na maioria dos casos é inclusive mais fácil de utilizar de que ferramentas como Excel, uma vez que você adquire alguma fluência na linguagemSim, na maioria dos casos é inclusive mais fácil de utilizar de que ferramentas como Excel, uma vez que você adquire alguma fluência na linguagem","Tinha certa dificuldade, mas meu empenho no curso deu bons resultados","Não sabia nada, e realizando as atividades, me sinto hoje apto a produzir códigos simples",1,1,3,0,1
2020-11-30 13:20:17,"Usualmente após os 15 min.","Fico entretido com algum outro material nos computadores de aula ou meu celular","Além de estudar o material do Integrees, busquei outros materiais externos.","Me comuniquei mais de maneira eletrônica, estava atento as comunicações enviadas por e-mail e Integrees. E sempre que precisei acionei o professor por e-mail, recebendo uma resposta.","Tinha certa dificuldade, mas meu empenho no curso deu bons resultados","São imprescindíveis, em particular quando se deseja processar maiores volumes de dados e realizar análises mais complexasSão imprescindíveis, em particular quando se deseja processar maiores volumes de dados e realizar análises mais complexas","Se tornou mais fluido, e tem me auxiliado em outras disciplinas","Se tornou mais fluido, e tem me auxiliado em outras disciplinas","Consigo fazer análises em grandes volumes de dados com uso de ferramentas de programação, mesmo que comandos simples da linguagem","Tem certa utilidade, mas apenas em contextos de negócio bem específicos","Não sabia nada, e realizando as atividades, me sinto hoje apto a produzir códigos simples","2020/2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Se tornou mais fluido, e tem me auxiliado em outras disciplinas","Se tornou mais fluido, e tem me auxiliado em outras disciplinas","Consigo fazer análises em grandes volumes de dados com uso de ferramentas de programação, mesmo que comandos simples da linguagem","Tem certa utilidade, mas apenas em contextos de negócio bem específicos","São imprescindíveis, em particular quando se deseja processar maiores volumes de dados e realizar análises mais complexasSão imprescindíveis, em particular quando se deseja processar maiores volumes de dados e realizar análises mais complexas","Tinha certa dificuldade, mas meu empenho no curso deu bons resultados","Não sabia nada, e realizando as atividades, me sinto hoje apto a produzir códigos simples",2,2,3,1,1
2020-11-30 13:54:21,"Britânica, conectado as 7h30 ou 13h10","Fico atento e focado no conteúdo apresentado","Acesso algumas vezes, mas não cheguei a estudar o material publicado","Me comuniquei mais de maneira eletrônica, estava atento as comunicações enviadas por e-mail e Integrees. E sempre que precisei acionei o professor por e-mail, recebendo uma resposta.","Tinha certa dificuldade, mas meu empenho no curso deu bons resultados","Sim, na maioria dos casos é inclusive mais fácil de utilizar de que ferramentas como Excel, uma vez que você adquire alguma fluência na linguagemSim, na maioria dos casos é inclusive mais fácil de utilizar de que ferramentas como Excel, uma vez que você adquire alguma fluência na linguagem","Se tornou mais fluido, e tem me auxiliado em outras disciplinas","Se tornou mais fluido, e tem me auxiliado em outras disciplinas","Tenho facilidade em construir meus próprios gráficos e análises em uma quantidade de dados que consiga manipular em uma ferramenta como Excel","Imprescindível para a sociedade da informação que vivemos hoje, e pode ser utilizada por pessoas não técnica.","Não sabia nada, e realizando as atividades, me sinto hoje apto a produzir códigos simples","2020/2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Se tornou mais fluido, e tem me auxiliado em outras disciplinas","Se tornou mais fluido, e tem me auxiliado em outras disciplinas","Tenho facilidade em construir meus próprios gráficos e análises em uma quantidade de dados que consiga manipular em uma ferramenta como Excel","Imprescindível para a sociedade da informação que vivemos hoje, e pode ser utilizada por pessoas não técnica.","Sim, na maioria dos casos é inclusive mais fácil de utilizar de que ferramentas como Excel, uma vez que você adquire alguma fluência na linguagemSim, na maioria dos casos é inclusive mais fácil de utilizar de que ferramentas como Excel, uma vez que você adquire alguma fluência na linguagem","Tinha certa dificuldade, mas meu empenho no curso deu bons resultados","Não sabia nada, e realizando as atividades, me sinto hoje apto a produzir códigos simples",2,2,2,2,1
2020-11-30 13:59:13,"Britânica, conectado as 7h30 ou 13h10","Fico atento e focado no conteúdo apresentado","Acesso frequentemente o Integrees, lendo todo material publicado.","Não tive dúvidas ou questões durante o curso, assim não precisei interagir tanto com o professor","Tinha certa dificuldade, mas meu empenho no curso deu bons resultados","São imprescindíveis, em particular quando se deseja processar maiores volumes de dados e realizar análises mais complexasSão imprescindíveis, em particular quando se deseja processar maiores volumes de dados e realizar análises mais complexas","Demanda muita concentração, mas deduzo conclusões","Se tornou mais fluido, e tem me auxiliado em outras disciplinas","Consigo fazer análises em grandes volumes de dados com uso de ferramentas de programação, mesmo que comandos simples da linguagem","Imprescindível para a sociedade da informação que vivemos hoje, e pode ser utilizada por pessoas não técnica.","Não sabia nada, e realizando as atividades, me sinto hoje apto a produzir códigos simples","2020/2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Demanda muita concentração, mas deduzo conclusões","Se tornou mais fluido, e tem me auxiliado em outras disciplinas","Consigo fazer análises em grandes volumes de dados com uso de ferramentas de programação, mesmo que comandos simples da linguagem","Imprescindível para a sociedade da informação que vivemos hoje, e pode ser utilizada por pessoas não técnica.","São imprescindíveis, em particular quando se deseja processar maiores volumes de dados e realizar análises mais complexasSão imprescindíveis, em particular quando se deseja processar maiores volumes de dados e realizar análises mais complexas","Tinha certa dificuldade, mas meu empenho no curso deu bons resultados","Não sabia nada, e realizando as atividades, me sinto hoje apto a produzir códigos simples",1,2,3,2,1
2020-11-30 14:40:21,"Dentro dos 15 min. de tolerância","Fico atento e focado no conteúdo apresentado","Acesso algumas vezes, mas não cheguei a estudar o material publicado","Me comuniquei mais de maneira eletrônica, estava atento as comunicações enviadas por e-mail e Integrees. E sempre que precisei acionei o professor por e-mail, recebendo uma resposta.","Tinha certa dificuldade, mas meu empenho no curso deu bons resultados","São imprescindíveis, em particular quando se deseja processar maiores volumes de dados e realizar análises mais complexasSão imprescindíveis, em particular quando se deseja processar maiores volumes de dados e realizar análises mais complexas","Se tornou mais fluido, e tem me auxiliado em outras disciplinas","Se tornou mais fluido, e tem me auxiliado em outras disciplinas","Tenho facilidade em construir meus próprios gráficos e análises em uma quantidade de dados que consiga manipular em uma ferramenta como Excel","Imprescindível para a sociedade da informação que vivemos hoje, e pode ser utilizada por pessoas não técnica.","Não sabia nada, e realizando as atividades, me sinto hoje apto a produzir códigos simples","2020/2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Se tornou mais fluido, e tem me auxiliado em outras disciplinas","Se tornou mais fluido, e tem me auxiliado em outras disciplinas","Tenho facilidade em construir meus próprios gráficos e análises em uma quantidade de dados que consiga manipular em uma ferramenta como Excel","Imprescindível para a sociedade da informação que vivemos hoje, e pode ser utilizada por pessoas não técnica.","São imprescindíveis, em particular quando se deseja processar maiores volumes de dados e realizar análises mais complexasSão imprescindíveis, em particular quando se deseja processar maiores volumes de dados e realizar análises mais complexas","Tinha certa dificuldade, mas meu empenho no curso deu bons resultados","Não sabia nada, e realizando as atividades, me sinto hoje apto a produzir códigos simples",2,2,2,2,1
