Date,ibov,Close
2020-01-02,118573.1,4.019699
2020-01-03,117706.66,4.0249
2020-01-06,116877.92,4.0668
2020-01-07,116661.94,4.0668
2020-01-08,116247.03,4.0572
2020-01-09,115947.11,4.0619
2020-01-10,115503.42,4.0677
2020-01-13,117325.28,4.0644
2020-01-14,117632.4,4.0936
2020-01-15,116414.35,4.0958
2020-01-16,116704.21,4.080666
2020-01-17,118478.3,4.09295
2020-01-20,118861.63,4.1473
2020-01-21,117026.04,4.1329
2020-01-22,118391.36,4.1757
2020-01-23,119527.63,4.1848
2020-01-24,118376.36,4.1619
2020-01-27,114481.84,4.1619
2020-01-28,116478.98,4.1618
2020-01-29,115384.84,4.19
2020-01-30,115528.04,4.2124
2020-01-31,113760.57,4.1828
2020-02-03,114629.21,4.1706
2020-02-04,115556.71,4.1814
2020-02-05,116028.27,4.1814
2020-02-06,115189.97,4.18195
2020-02-07,113770.29,4.2077
2020-02-10,112570.3,4.1949
2020-02-11,115370.61,4.2304
2020-02-12,116674.13,4.2437
2020-02-13,115662.4,4.2825
2020-02-14,114380.71,4.2825
2020-02-17,115309.08,4.2828
2020-02-18,114977.29,4.2483
2020-02-19,116517.59,4.2552
2020-02-20,114586.24,4.2352
2020-02-21,113681.42,4.2823
2020-02-26,105718.29,4.3206
2020-02-27,102983.54,4.3206
2020-02-28,104171.57,4.3206
2020-03-02,106625.41,4.3245
2020-03-03,105537.14,4.331442
2020-03-04,107224.22,4.356
2020-03-05,102233.24,4.350457
2020-03-06,97996.77,4.2976
2020-03-09,86067.2,4.2976
2020-03-10,92214.47,4.2977
2020-03-11,85171.13,4.328
2020-03-12,72582.53,4.3563
2020-03-13,82677.91,4.3655
2020-03-16,71168.05,4.3938
2020-03-17,74617.24,4.3896
2020-03-18,66894.95,4.3896
2020-03-19,70064.16,4.39025
2020-03-20,66954.72,4.3881
2020-03-23,63569.62,4.3883
2020-03-24,69729.3,4.4508
2020-03-25,74955.57,4.4863
2020-03-26,77709.66,4.473054
2020-03-27,73428.78,4.473054
2020-03-30,74639.48,4.4788
2020-03-31,73019.76,4.4739
2020-04-01,70966.7,4.5147
2020-04-02,72253.46,4.5849
2020-04-03,69537.56,4.6077
2020-04-06,74072.98,4.62665
2020-04-07,76358.09,4.6273
2020-04-08,78624.62,4.6273
2020-04-09,77681.94,4.724288
2020-04-13,78835.82,4.6441
2020-04-14,79918.36,4.8153
2020-04-15,78831.46,4.7919
2020-04-16,77811.85,4.8596
2020-04-17,78990.29,4.8596
2020-04-20,78972.76,4.8596
2020-04-22,80687.15,5.0006
2020-04-23,79673.3,5.0112
2020-04-24,75330.61,5.107612
2020-04-27,78238.6,5.0957
2020-04-28,81312.23,5.0639
2020-04-29,83170.8,5.0639
2020-04-30,80505.89,5.05425
2020-05-04,78876.22,5.1432
2020-05-05,79470.78,5.0996
2020-05-06,79063.68,5.0352
2020-05-07,78118.57,5.0241
2020-05-08,80263.35,5.1005
2020-05-11,79064.6,5.1005
2020-05-12,77871.95,5.108225
2020-05-13,77772.2,5.1942
2020-05-14,79010.81,5.2051
2020-05-15,77556.62,5.2496
2020-05-18,81194.29,5.2568
2020-05-19,80742.35,5.346768
2020-05-20,81319.45,5.346768
2020-05-21,83027.09,5.35
2020-05-22,82173.21,5.2869
2020-05-25,85663.48,5.2232
2020-05-26,85468.91,5.125
2020-05-27,87946.25,5.1073
2020-05-28,86949.09,5.107
2020-05-29,87402.59,5.107
2020-06-01,88620.1,5.107
2020-06-02,91046.38,5.2
2020-06-03,93002.14,5.1635
2020-06-04,93828.61,5.2385
2020-06-05,94637.06,5.2324
2020-06-08,97644.67,5.2342
2020-06-09,96746.55,5.236922
2020-06-10,94685.98,5.2342
