Date,USD,BOV
1/2/2015,2.6532,48.51222
1/5/2015,2.6912,47.51682
1/7/2015,2.6966,48.00092
1/8/2015,2.6808,49.9433
1/9/2015,2.6597,48.84025
1/12/2015,2.6264,48.13974
1/13/2015,2.6702,48.04167
1/14/2015,2.6396,47.64587
1/15/2015,2.6121,48.02631
1/16/2015,2.6387,49.01652
1/19/2015,2.6169,47.75801
1/20/2015,2.6481,47.87666
1/21/2015,2.611,49.22408
1/23/2015,2.5707,48.7753
1/26/2015,2.5778,48.57655
1/27/2015,2.5799,48.59123
1/28/2015,2.5693,47.69454
1/29/2015,2.5731,47.76224
1/30/2015,2.6002,46.90768
2/2/2015,2.6788,47.65073
2/3/2015,2.7236,48.96366
2/4/2015,2.6911,49.30105
2/5/2015,2.7383,49.23385
2/6/2015,2.7416,48.79227
2/9/2015,2.7796,49.38258
2/10/2015,2.7663,48.51028
2/11/2015,2.8311,48.23967
2/12/2015,2.8655,49.53272
2/13/2015,2.817,50.63592
2/18/2015,2.8257,51.28036
2/19/2015,2.834,51.29403
2/20/2015,2.8633,51.2377
2/23/2015,2.8641,51.28064
2/24/2015,2.8747,51.87417
2/25/2015,2.857,51.81102
2/26/2015,2.8688,51.76054
2/27/2015,2.905,51.58309
3/2/2015,2.8368,51.02081
3/3/2015,2.8927,51.3041
3/4/2015,2.9279,50.46805
3/5/2015,2.9714,50.3652
3/6/2015,3.0001,49.98119
3/9/2015,3.057,49.18101
3/10/2015,3.1227,48.2934
3/11/2015,3.1016,48.90558
3/12/2015,3.1269,48.8804
3/13/2015,3.1631,48.59581
3/16/2015,3.245,48.84821
3/17/2015,3.2428,50.28512
3/18/2015,3.2462,51.52619
3/19/2015,3.2181,50.95353
3/20/2015,3.2904,51.96658
3/23/2015,3.2246,51.90846
3/24/2015,3.1283,51.50607
3/25/2015,3.1362,51.8583
3/26/2015,3.1973,50.57985
3/27/2015,3.1795,50.09466
3/30/2015,3.2412,51.24345
3/31/2015,3.226,51.15016
4/1/2015,3.1885,52.32176
4/2/2015,3.1643,53.12302
4/6/2015,3.1216,53.73726
4/7/2015,3.1216,53.72916
4/8/2015,3.1251,53.66111
4/9/2015,3.0461,53.80266
4/10/2015,3.0553,54.21411
4/13/2015,3.0718,54.23977
4/14/2015,3.1192,53.98192
4/15/2015,3.0646,54.91874
4/16/2015,3.0259,54.67421
4/17/2015,3.0186,53.95479
4/20/2015,3.0367,53.76127
4/22/2015,3.026,54.61736
4/23/2015,3.0052,55.68485
4/24/2015,2.9685,56.59422
4/27/2015,2.9483,55.5345
4/28/2015,2.9131,55.81203
4/29/2015,2.9348,55.32529
4/30/2015,2.9527,56.22938
