Date,Open
43467.70556,22.55
43468.70556,23.96
43469.70556,24.85
43472.70556,24.85
43473.70556,25.4
43474.70556,25.3
43475.70556,25.26
43476.70556,25.15
43479.70556,24.82
43480.70556,24.83
43481.70556,24.8
43482.70556,24.75
43483.70556,25.44
43486.70556,25.31
43487.70556,25.26
43488.70556,25.33
43489.70556,25.4
43493.70556,25.29
43494.70556,25.25
43495.70556,25.81
43496.70556,25.87
43497.70556,25.5
43500.70556,25.84
43501.70556,25.91
43502.70556,25.8
43503.70556,25.6
43504.70556,24.8
43507.70556,25.17
43508.70556,25.32
43509.70556,26.02
43510.70556,26.17
43511.70556,26.86
43514.70556,26.59
43515.70556,26.86
43516.70556,27.5
43517.70556,27.18
43518.70556,27.55
43521.70556,27
43522.70556,26.76
43523.70556,26.84
43524.70556,27.72
43525.70556,27.14
43530.70556,26.55
43531.70556,26.8
43532.70556,26.49
43535.70556,27.02
43536.70556,27.79
43537.70556,27.59
43538.70556,28.15
43539.70556,28.16
43542.70556,28.35
43543.70556,28.85
43544.70556,29.2
43545.70556,28.84
43546.70556,27.94
43549.70556,26.83
43550.70556,27.74
43551.70556,28.21
43552.70556,27.25
43553.70556,28.45
43556.70556,28.4
43557.70556,28.14
43558.70556,28.53
43559.70556,27.77
43560.70556,28.54
43563.70556,29.06
43564.70556,29.03
43565.70556,29.55
43566.70556,28.7
43567.70556,26.47
43570.70556,26.35
43571.70556,25.95
43572.70556,27.12
43573.70556,27.36
43577.70556,27.69
43578.70556,27.72
43579.70556,27.72
43580.70556,27.45
43581.70556,27.68
43584.70556,27.55
43585.70556,27.52
43587.70556,26.8
43588.70556,26.9
43591.70556,26.39
43592.70556,26.65
43593.70556,26.31
43594.70556,27.1
43595.70556,26.87
43598.70556,26.21
43599.70556,26.17
43600.70556,25.74
43601.70556,25.77
43602.70556,25.05
43605.70556,24.68
43606.70556,25.7
43607.70556,26.34
43608.70556,25.9
43609.70556,26.15
43612.70556,26.3
43613.70556,26.13
43614.70556,26.49
43615.70556,26.51
43616.70556,25.79
43619.70556,25.88
43620.70556,26.29
43621.70556,26.18
43622.70556,26.17
43623.70556,26.69
43626.70556,26.6
43627.70556,26.89
43628.70556,27.02
43629.70556,27.15
43630.70556,27.2
43633.70556,27.08
43634.70556,27.3
43635.70556,27.35
43637.70556,27.95
43640.70556,28.32
43641.70556,28.14
43642.70556,27.55
43643.70556,27.44
43644.70556,27.45
43647.70556,27.84
43648.70556,27.26
43649.70556,27.04
43650.70556,27.38
43651.70556,27.27
43654.70556,27.5
43656.70556,28
43657.70556,28.2
43658.70556,28.54
43661.70556,28.59
43662.70556,28.28
43663.70556,27.99
43664.70556,27.76
43665.70556,27.5
43668.70556,27.62
43669.70556,27.51
43670.70556,27.59
43671.70556,27.47
43672.70556,26.8
43675.70556,26.22
43676.70556,26.35
43677.70556,26.39
43678.70556,26.3
43679.70556,26.37
43682.70556,25.8
43683.70556,25.9
43684.70556,25.44
43685.70556,26.1
43686.70556,26.3
43689.70556,25.92
43690.70556,25.36
43691.70556,25.26
43692.70556,24.99
43693.70556,24.72
43696.70556,24.3
43697.70556,23.91
43698.70556,24.35
43699.70556,25.5
43700.70556,24.78
43703.70556,24.58
43704.70556,24.17
43705.70556,24.2
43706.70556,24.9
43707.70556,25.53
43710.70556,25.39
43711.70556,25.11
43712.70556,26.16
43713.70556,26.6
43714.70556,26.4
43717.70556,26.75
43718.70556,27.05
43719.70556,27.35
43720.70556,26.86
43721.70556,27.12
43724.70556,28.12
43725.70556,27.66
43726.70556,27.37
43727.70556,27.83
43728.70556,27.35
43731.70556,27
43732.70556,27.42
43733.70556,27.03
43734.70556,27.4
43735.70556,27.55
43738.70556,27.56
43739.70556,27.6
43740.70556,27.22
43741.70556,26.75
43742.70556,26.85
43745.70556,26.37
43746.70556,26.17
43747.70556,26.35
43748.70556,26.59
43749.70556,26.93
43752.70556,27.04
43753.70556,27.31
43754.70556,27.55
43755.70556,27.93
43756.70556,27.89
43759.70556,27.75
43760.70556,27.8
43761.70556,28.53
43762.70556,29.15
43763.70556,29.2
43766.70556,29.22
43767.70556,29.4
43768.70556,29.77
43769.70556,29.86
43770.70556,30.59
43773.70556,30.89
43774.70556,30.41
43775.70556,30.05
43776.70556,30
43777.70556,30.45
43780.70556,29.85
43781.70556,30.04
43782.70556,29.95
43783.70556,29.88
43787.70556,29.7
43788.70556,29.25
43790.70556,28.93
43791.70556,29.76
43794.70556,29.92
43795.70556,29.62
43796.70556,29.35
43797.70556,29.32
43798.70556,29.49
43801.70556,29.4
43802.70556,29.17
43803.70556,29.26
43804.70556,29.64
43805.70556,30.15
43808.70556,30.3
43809.70556,30.1
43810.70556,30.51
43811.70556,30.64
43812.70556,30.89
43815.70556,30.05
43816.70556,29.64
43817.70556,29.75
43818.70556,30.45
43819.70556,30.6
43822.70556,30.19
43825.70556,30.59
43826.70556,30.69
43829.70556,30.55
43832.70556,30.51
43833.74306,30.88
43836.70556,30.43
43837.70556,30.6
43838.70556,30.69
43839.70556,30.47
43840.70556,30.39
43843.70556,30.35
43844.70556,30.23
43845.70556,29.9
43846.70556,29.6
43847.70556,29.72
43850.70556,29.7
43851.70556,29.8
43852.70556,29.73
43853.70556,29.09
43854.70556,29.56
43857.70556,28.63
43858.70556,28.43
43859.70556,29
43860.70556,28.28
43861.70556,28.63
43864.70556,28.52
43865.70556,28.65
43866.70556,29.05
43867.70556,28.7
43868.70556,29
43871.70556,28.89
43872.70556,29.4
43873.70556,29.64
43874.70556,29.77
43875.70556,29.86
43878.70556,29.63
43879.70556,29.06
43880.70556,29.87
43881.70556,30.8
43882.70556,29.51
43887.70556,27.04
43888.70556,25.72
43889.70556,25.16
