Date,Close
1/2/2019,24.06
1/3/2019,24.65
1/4/2019,24.72
1/7/2019,25.11
1/8/2019,24.96
1/9/2019,25.48
1/10/2019,25.26
1/11/2019,24.99
1/14/2019,24.85
1/15/2019,24.83
1/16/2019,24.82
1/17/2019,25.16
1/18/2019,25.4
1/21/2019,25.53
1/22/2019,25.13
1/23/2019,25.43
1/24/2019,25.54
1/28/2019,24.77
1/29/2019,25.37
1/30/2019,25.62
1/31/2019,25.58
2/1/2019,25.8
2/4/2019,26.03
2/5/2019,26.08
2/6/2019,25.49
2/7/2019,25.09
2/8/2019,25.13
2/11/2019,24.84
2/12/2019,25.72
2/13/2019,26.05
2/14/2019,26.95
2/15/2019,26.84
2/18/2019,26.76
2/19/2019,27.38
2/20/2019,27.04
2/21/2019,27.4
2/22/2019,27.13
2/25/2019,26.7
2/26/2019,26.58
2/27/2019,27.08
2/28/2019,27.06
3/1/2019,26.7
3/6/2019,26.76
3/7/2019,26.77
3/8/2019,26.67
3/11/2019,27.75
3/12/2019,27.5
3/13/2019,28.1
3/14/2019,28.19
3/15/2019,28.25
3/18/2019,28.74
3/19/2019,29.2
3/20/2019,28.97
3/21/2019,28.56
3/22/2019,27
3/25/2019,27.34
3/26/2019,28.63
3/27/2019,27.34
3/28/2019,28.06
3/29/2019,28.06
4/1/2019,28
4/2/2019,28.29
4/3/2019,27.54
4/4/2019,28.47
4/5/2019,28.78
4/8/2019,29.25
4/9/2019,29.16
4/10/2019,28.78
4/11/2019,28
4/12/2019,25.83
4/15/2019,25.93
4/16/2019,26.72
4/17/2019,26.75
4/18/2019,27.6
4/22/2019,27.44
4/23/2019,27.68
4/24/2019,27.6
4/25/2019,27.8
4/26/2019,27.25
4/29/2019,27.37
4/30/2019,27.11
5/2/2019,26.73
5/3/2019,26.85
5/6/2019,26.77
5/7/2019,26.35
5/8/2019,27.37
5/9/2019,26.83
5/10/2019,26.68
5/13/2019,25.9
5/14/2019,26
5/15/2019,25.88
5/16/2019,25.27
5/17/2019,24.68
5/20/2019,25.52
5/21/2019,26.49
5/22/2019,26.29
5/23/2019,25.84
5/24/2019,26.09
5/27/2019,26.24
5/28/2019,26.8
5/29/2019,26.5
5/30/2019,26.15
5/31/2019,25.55
6/3/2019,25.99
6/4/2019,26.2
6/5/2019,25.86
6/6/2019,26.28
6/7/2019,26.76
6/10/2019,26.65
6/11/2019,27.16
6/12/2019,26.85
6/13/2019,27.18
6/14/2019,27.06
6/17/2019,27.11
6/18/2019,27.45
6/19/2019,27.52
6/21/2019,28.28
6/24/2019,28.25
6/25/2019,27.51
6/26/2019,27.67
6/27/2019,27.23
6/28/2019,27.41
7/1/2019,27.26
7/2/2019,26.82
7/3/2019,27.13
7/4/2019,27.39
7/5/2019,27.4
7/8/2019,27.65
7/10/2019,28.07
