raclogico,abstracao,racmath,stats,anadados,anagraf,anapreditiva,ferramentavisual,semestre,turma,entrada,matricula
4,4,4,4,4,3,4,2,20.1,PMLEC201,EC201,EC201160
4,4,4,4,4,3,4,2,20.1,PMLEC201,EC201,EC201515
5,5,4,4,4,3,4,2,20.1,PMLEC201,EC201,EC201500
4,4,4,4,4,3,4,2,20.1,PMLEC201,EC201,EC201206
4,4,4,4,4,3,4,2,20.1,PMLEC201,EC201,EC201125
4,4,4,4,4,3,4,2,20.1,PMLEC201,EC201,EC20168
5,5,5,5,4,3,4,2,20.1,PMLEC201,EC201,EC20185
5,4,4,4,4,3,4,2,20.1,PMLEC201,EC201,EC201202
5,4,4,4,4,3,4,2,20.1,PMLEC201,EC201,EC201557
5,4,4,4,4,3,4,2,20.1,PMLEC201,EC201,EC201241
5,4,4,4,4,3,4,2,20.1,PMLEC201,EC201,EC20146
5,4,4,4,4,3,4,2,20.1,PMLEC201,EC201,EC201161
5,5,4,5,4,3,4,2,20.1,PMLEC201,EC201,EC201528
5,4,4,4,4,3,4,2,20.1,PMLEC201,EC201,EC20146
5,5,4,4,4,3,4,2,20.1,PMLEC201,EC201,EC201168
5,5,5,4,4,3,4,2,20.1,PMLEC201,EC201,EC201254
5,5,4,4,4,3,4,2,20.1,PMLEC201,EC201,EC201295
5,5,4,4,4,3,4,2,20.1,PMLEC201,EC201,EC201255
4,5,4,4,4,5,4,2,20.1,PMLAD201,AD201,AD201506
5,5,5,4,4,5,4,2,20.1,PMLAD201,AD201,AD201518
4,5,4,4,4,5,4,2,20.1,PMLAD201,AD201,AD20159
4,5,4,4,4,5,4,2,20.1,PMLAD201,AD201,AD201502
4,5,4,4,4,5,4,2,20.1,PMLAD201,AD201,AD201104
4,5,4,4,4,5,4,2,20.1,PMLAD201,AD201,AD201155
5,5,5,5,4,5,4,2,20.1,PMLAD201,AD201,AD20185
4,5,4,4,4,5,4,2,20.1,PMLAD201,AD201,AD201105
4,5,4,4,4,5,4,2,20.1,PMLAD201,AD201,AD201189
4,5,4,4,4,5,4,2,20.1,PMLAD201,AD201,AD201150
4,5,4,4,4,4,4,2,20.1,PMLAD201,AD201,AD20182
4,5,4,4,4,5,4,2,20.1,PMLAD201,AD201,AD201155
