raclogico,abstracao,racmath,stats,anadados,anagraf,anapreditiva,ferramentavisual,semestre,turma,entrada,matricula
4,4,4,4,3,3,3,3,20.1,PMLEC201,EC201,EC201160
4,4,4,4,3,3,3,3,20.1,PMLEC201,EC201,EC201315
5,3,4,4,3,3,2,3,20.1,PMLEC201,EC201,EC201300
4,4,4,4,3,3,3,3,20.1,PMLEC201,EC201,EC201206
4,4,4,4,3,3,3,3,20.1,PMLEC201,EC201,EC201125
4,4,4,4,3,4,3,5,20.1,PMLEC201,EC201,EC20168
5,3,5,3,3,3,2,3,20.1,PMLEC201,EC201,EC20183
4,4,4,4,3,3,3,3,20.1,PMLEC201,EC201,EC201202
4,4,4,4,3,3,3,3,20.1,PMLEC201,EC201,EC201337
4,4,4,4,3,3,3,3,20.1,PMLEC201,EC201,EC201241
4,4,4,4,3,3,3,3,20.1,PMLEC201,EC201,EC20146
4,4,4,4,3,3,3,3,20.1,PMLEC201,EC201,EC201161
5,3,4,3,3,3,2,3,20.1,PMLEC201,EC201,EC201328
4,4,4,4,3,3,3,3,20.1,PMLEC201,EC201,EC20146
5,3,4,4,2,2,2,4,20.1,PMLEC201,EC201,EC201168
5,3,5,4,3,3,2,3,20.1,PMLEC201,EC201,EC201254
4,4,4,4,3,3,3,3,20.1,PMLEC201,EC201,EC201293
4,4,4,4,3,3,3,3,20.1,PMLEC201,EC201,EC201233
4,4,4,4,3,5,3,5,20.1,PMLEC201,EC201,EC201207
4,4,4,4,3,3,3,3,20.1,PMLEC201,EC201,EC20163
4,4,4,4,3,3,3,3,20.1,PMLEC201,EC201,EC201309
5,3,4,4,2,2,2,5,20.1,PMLEC201,EC201,EC201217
5,3,5,3,3,3,2,3,20.1,PMLEC201,EC201,EC201299
5,3,4,3,3,3,2,3,20.1,PMLEC201,EC201,EC201137
5,3,5,3,3,3,2,3,20.1,PMLAD201,AD201,AD201106
5,3,4,3,3,3,2,3,20.1,PMLAD201,AD201,AD2012
4,3,4,4,2,3,2,5,20.1,PMLAD201,AD201,AD201283
4,4,4,4,3,3,3,3,20.1,PMLAD201,AD201,AD20128
4,4,4,4,3,3,3,3,20.1,PMLAD201,AD201,AD20111
4,4,4,4,3,3,3,3,20.1,PMLAD201,AD201,AD201274
4,4,4,4,3,3,3,3,20.1,PMLAD201,AD201,AD201318
4,4,4,4,3,3,3,3,20.1,PMLAD201,AD201,AD201326
4,4,4,4,3,3,3,3,20.1,PMLAD201,AD201,AD201306
5,3,5,4,3,3,2,3,20.1,PMLAD201,AD201,AD201318
4,4,4,4,3,3,3,3,20.1,PMLAD201,AD201,AD20159
4,4,4,4,3,3,3,3,20.1,PMLAD201,AD201,AD201302
4,4,4,4,3,3,3,3,20.1,PMLAD201,AD201,AD201104
4,4,4,4,3,3,3,3,20.1,PMLAD201,AD201,AD201153
5,3,5,3,3,3,2,3,20.1,PMLAD201,AD201,AD20183
4,4,4,4,3,3,3,3,20.1,PMLAD201,AD201,AD201105
4,4,4,4,3,3,3,3,20.1,PMLAD201,AD201,AD201189
4,4,4,4,3,3,3,3,20.1,PMLAD201,AD201,AD201130
4,4,4,4,3,4,3,5,20.1,PMLAD201,AD201,AD20182
4,4,4,4,3,3,3,3,20.1,PMLAD201,AD201,AD201135
5,3,4,4,3,3,2,3,20.1,PMLAD201,AD201,AD201137
4,4,4,4,3,3,3,3,20.1,PMLAD201,AD201,AD201111
4,4,4,4,3,3,3,3,20.1,PMLAD201,AD201,AD201174
5,3,4,4,3,3,2,3,20.1,PMLAD201,AD201,AD201239
4,4,4,4,3,3,3,3,20.1,PMLAD201,AD201,AD20112
4,4,4,4,3,3,3,3,20.2,PMLEC202,EC202,EC202130
4,4,4,4,3,3,3,3,20.2,PMLEC202,EC202,EC202106
4,4,4,4,3,3,3,3,20.2,PMLEC202,EC202,EC202189
5,3,5,3,3,3,2,3,20.2,PMLEC202,EC202,EC20220
4,4,4,4,3,3,3,3,20.2,PMLEC202,EC202,EC202313
4,4,4,4,3,3,3,3,20.2,PMLEC202,EC202,EC202160
4,4,4,4,3,3,3,3,20.2,PMLEC202,EC202,EC202256
4,4,4,4,3,3,3,3,20.2,PMLEC202,EC202,EC202128
4,4,4,4,3,3,2,3,20.2,PMLEC202,EC202,EC202253
4,3,4,4,2,4,2,5,20.2,PMLEC202,EC202,EC20242
4,4,4,4,3,3,3,3,20.2,PMLEC202,EC202,EC202326
5,3,4,3,3,3,2,3,20.2,PMLEC202,EC202,EC202118
5,3,4,3,3,3,2,3,20.2,PMLEC202,EC202,EC202199
4,4,4,4,3,3,3,3,20.2,PMLEC202,EC202,EC202309
5,3,5,3,3,3,2,3,20.2,PMLEC202,EC202,EC20265
5,3,5,3,3,3,2,3,20.2,PMLEC202,EC202,EC20236
4,4,4,4,3,3,3,3,20.2,PMLEC202,EC202,EC202205
4,4,4,4,3,3,3,3,20.2,PMLEC202,EC202,EC202300
4,4,4,4,3,3,3,3,20.2,PMLEC202,EC202,EC202212
4,4,4,4,3,5,3,5,20.2,PMLEC202,EC202,EC202144
5,3,5,3,3,3,2,3,20.2,PMLEC202,EC202,EC2026
4,4,4,4,3,3,3,3,20.2,PMLEC202,EC202,EC20267
4,4,4,4,3,3,3,3,20.2,PMLEC202,EC202,EC20251
4,4,4,4,3,3,3,3,20.2,PMLEC202,EC202,EC202140
5,3,5,3,3,3,2,3,20.2,PMLEC202,EC202,EC202203
4,4,4,4,3,3,3,3,20.2,PMLAD202,AD202,AD202143
4,4,4,4,3,3,3,3,20.2,PMLAD202,AD202,AD202242
4,4,4,4,3,5,3,5,20.2,PMLAD202,AD202,AD20243
4,4,4,4,3,3,3,3,20.2,PMLAD202,AD202,AD202162
4,4,4,4,3,3,3,3,20.2,PMLAD202,AD202,AD202139
4,4,4,4,3,3,3,3,20.2,PMLAD202,AD202,AD202284
5,3,4,3,3,3,2,3,20.2,PMLAD202,AD202,AD202194
