raclogico,abstracao,racmath,stats,anadados,anagraf,anapreditiva,ferramentavisual,semestre,turma,entrada,matricula
5,4,4,4,5,5,5,5,55.5,PMLEC222,EC222,EC222282
5,5,4,5,5,5,5,5,55.5,PMLEC222,EC222,EC222500
5,4,4,4,5,5,5,5,55.5,PMLEC222,EC222,EC222202
5,5,5,5,5,5,5,5,55.5,PMLEC222,EC222,EC22226
5,5,5,5,5,5,5,5,55.5,PMLEC222,EC222,EC22261
5,5,5,5,5,5,5,5,55.5,PMLEC222,EC222,EC22254
5,5,5,5,4,5,5,5,55.5,PMLEC222,EC222,EC22258
5,5,5,5,5,4,5,5,55.5,PMLAD222,AD222,AD222575
5,5,5,5,5,5,5,5,55.5,PMLAD222,AD222,AD222578
5,5,5,5,5,5,5,5,55.5,PMLAD222,AD222,AD222465
5,5,5,5,5,5,4,5,55.5,PMLAD222,AD222,AD222452
5,5,5,5,4,5,4,5,55.5,PMLAD222,AD222,AD222402
5,5,5,5,4,5,4,5,55.5,PMLAD222,AD222,AD222408
5,5,5,5,4,5,4,5,55.5,PMLAD222,AD222,AD222555
5,5,5,5,4,5,4,5,55.5,PMLAD222,AD222,AD222489
5,5,5,5,4,5,4,5,55.5,PMLAD222,AD222,AD222411
5,5,5,5,4,5,4,5,55.5,PMLAD222,AD222,AD222481
5,5,5,5,4,5,4,5,55.5,PMLAD222,AD222,AD222595
5,5,4,5,5,5,5,5,55.5,PMLAD222,AD222,AD222564
5,5,4,5,5,4,5,5,55.5,PMLAD222,AD222,AD222595
5,5,4,5,5,5,5,5,55.5,PMLAD222,AD222,AD222494
5,5,4,4,5,5,5,5,55.5,PMLAD222,AD222,AD222445
5,5,5,5,5,5,5,5,55.5,PMLAD222,AD222,AD222565
5,5,4,5,5,5,5,5,55.5,PMLAD222,AD222,AD222488
5,5,4,4,5,5,5,5,55.5,PMLAD222,AD222,AD222565
5,5,4,4,5,5,5,5,55.5,PMLAD222,AD222,AD222495
5,5,4,4,5,5,5,5,55.5,PMLAD222,AD222,AD222558
