raclogico,abstracao,racmath,stats,anadados,anagraf,anapreditiva,ferramentavisual,semestre,turma,entrada,matricula
4,4,4,4,3,3,2,3,22.2,PMLEC222,EC222,EC222282
5,5,4,3,3,3,2,4,22.2,PMLEC222,EC222,EC222300
4,4,4,4,3,3,3,4,22.2,PMLEC222,EC222,EC222202
5,5,5,3,3,3,2,4,22.2,PMLEC222,EC222,EC22226
5,5,5,3,3,3,2,4,22.2,PMLEC222,EC222,EC22261
4,4,4,4,3,3,3,4,22.2,PMLEC222,EC222,EC22254
4,4,4,4,3,3,3,4,22.2,PMLEC222,EC222,EC22258
4,4,4,4,3,3,3,4,22.2,PMLEC222,EC222,EC22217
5,5,5,3,3,3,2,4,22.2,PMLEC222,EC222,EC222426
4,4,4,4,3,3,3,4,22.2,PMLEC222,EC222,EC222403
4,4,4,4,3,3,3,4,22.2,PMLEC222,EC222,EC222490
4,4,4,4,3,3,3,4,22.2,PMLEC222,EC222,EC222472
4,4,4,4,3,3,3,4,22.2,PMLEC222,EC222,EC222386
4,5,4,4,2,4,2,4,22.2,PMLAD222,AD222,AD222398
5,5,4,3,3,3,2,4,22.2,PMLAD222,AD222,AD222353
4,4,4,4,3,3,3,4,22.2,PMLAD222,AD222,AD222431
4,4,4,4,3,3,3,4,22.2,PMLAD222,AD222,AD222395
4,4,4,4,3,3,3,4,22.2,PMLAD222,AD222,AD222414
4,4,4,4,3,3,3,4,22.2,PMLAD222,AD222,AD222392
4,4,4,4,3,4,3,5,22.2,PMLAD222,AD222,AD222373
4,4,4,4,3,3,3,3,22.2,PMLAD222,AD222,AD222378
4,4,4,4,3,3,3,3,22.2,PMLAD222,AD222,AD222465
5,5,5,3,3,3,2,3,22.2,PMLAD222,AD222,AD222452
4,4,4,4,3,3,3,3,22.2,PMLAD222,AD222,AD222402
4,4,4,4,3,3,3,5,22.2,PMLAD222,AD222,AD222408
4,4,4,4,3,3,3,3,22.2,PMLAD222,AD222,AD222353
4,4,4,4,3,3,3,5,22.2,PMLAD222,AD222,AD222489
4,4,4,4,3,3,3,3,22.2,PMLAD222,AD222,AD222411
4,4,4,4,3,3,3,3,22.2,PMLAD222,AD222,AD222481
4,4,4,4,3,3,3,3,22.2,PMLAD222,AD222,AD222395
4,4,4,4,3,3,3,3,22.2,PMLAD222,AD222,AD222364
4,4,4,4,3,4,3,5,22.2,PMLAD222,AD222,AD222393
5,5,4,3,3,3,2,3,22.2,PMLAD222,AD222,AD222494
4,4,4,4,3,3,3,3,22.2,PMLAD222,AD222,AD222445
5,5,5,3,3,3,2,3,22.2,PMLAD222,AD222,AD222365
5,5,4,3,3,3,2,3,22.2,PMLAD222,AD222,AD222488
4,4,4,4,3,3,3,3,22.2,PMLAD222,AD222,AD222365
4,4,4,4,3,3,3,3,22.2,PMLAD222,AD222,AD222493
4,4,4,4,3,3,3,3,22.2,PMLAD222,AD222,AD222358
5,5,4,4,2,2,2,4,22.2,PMLAD222,AD222,AD222387
5,5,5,3,3,3,2,3,22.2,PMLAD222,AD222,AD222477
5,5,4,4,3,3,2,3,22.2,PMLAD222,AD222,AD222351
5,5,4,4,3,3,2,3,22.2,PMLAD222,AD222,AD222428
4,5,4,4,3,3,3,3,22.2,PMLAD222,AD222,AD222377
5,3,4,3,3,3,2,3,22.2,PMLAD222,AD222,AD222351
4,4,4,4,3,3,3,3,22.2,PMLAD222,AD222,AD222481
5,3,4,4,3,3,2,3,22.2,PMLAD222,AD222,AD222405
4,4,4,4,3,3,3,5,22.2,DMBEC201,EC201,EC201497
5,3,4,4,3,3,2,3,22.2,DMBEC201,EC201,EC201445
4,4,4,4,3,3,3,3,22.2,DMBEC201,EC201,EC201368
4,4,4,4,3,3,3,3,22.2,DMBEC201,EC201,EC201428
4,4,4,4,3,3,3,3,22.2,DMBEC201,EC201,EC201473
5,3,5,4,3,3,2,3,22.2,DMBEC201,EC201,EC201363
4,4,4,4,3,3,2,3,22.2,DMBEC201,EC201,EC201373
4,4,4,4,3,5,3,5,22.2,DMBEC201,EC201,EC201358
5,3,4,4,3,3,2,3,22.2,DMBEC201,EC201,EC201478
4,4,4,4,3,3,2,3,22.2,DMBEC201,EC201,EC201499
5,3,4,4,3,3,2,3,22.2,DMBEC201,EC201,EC201372
4,4,4,4,3,3,3,3,22.2,DMBEC201,EC201,EC201438
5,3,4,4,3,3,2,3,22.2,DMBEC201,EC201,EC201395
4,4,4,4,3,3,3,3,22.2,DMBAD201,AD201,AD201442
5,3,4,4,3,3,2,3,22.2,DMBAD201,AD201,AD201389
4,4,4,4,3,3,2,3,22.2,DMBAD201,AD201,AD201392
5,3,4,3,3,3,2,3,22.2,DMBAD201,AD201,AD201486
4,4,4,4,3,3,3,3,22.2,DMBAD201,AD201,AD201376
5,3,5,3,3,3,2,3,22.2,DMBAD201,AD201,AD201436
5,3,5,3,3,3,2,3,22.2,DMBAD201,AD201,AD201405
4,4,4,4,3,3,3,3,22.2,DMBAD201,AD201,AD201366
4,4,4,4,3,3,3,3,22.2,DMBAD201,AD201,AD201487
4,4,4,4,3,3,3,3,22.2,DMBAD201,AD201,AD201480
5,3,5,3,3,3,2,3,22.2,DMBAD201,AD201,AD201403
4,4,4,4,3,3,3,3,22.2,DMBAD201,AD201,AD201355
4,4,4,4,3,3,3,3,22.2,DMBEC202,EC202,EC202480
4,4,4,4,3,3,3,3,22.2,DMBEC202,EC202,EC202436
4,4,4,4,3,3,3,3,22.2,DMBEC202,EC202,EC202378
4,3,4,4,2,4,2,5,22.2,DMBEC202,EC202,EC202362
5,3,4,3,3,3,2,3,22.2,DMBEC202,EC202,EC202388
4,4,4,4,3,3,3,3,22.2,DMBEC202,EC202,EC202374
4,4,4,4,3,3,3,3,22.2,DMBEC202,EC202,EC202483
4,4,4,4,3,3,3,3,22.2,DMBEC202,EC202,EC202459
4,4,4,4,3,3,3,3,22.2,DMBEC202,EC202,EC202497
4,4,4,4,3,4,3,5,22.2,DMBEC202,EC202,EC202422
4,4,4,4,3,3,3,3,22.2,DMBEC202,EC202,EC202422
4,4,4,4,3,3,3,3,22.2,DMBEC202,EC202,EC202350
5,3,5,3,3,3,2,3,22.2,DMBAD202,AD202,AD202462
4,4,4,4,3,3,3,3,22.2,DMBAD202,AD202,AD202390
4,4,4,4,3,3,3,5,22.2,DMBAD202,AD202,AD202495
4,4,4,4,3,3,3,3,22.2,DMBAD202,AD202,AD202440
4,4,4,4,3,3,3,5,22.2,DMBAD202,AD202,AD202457
4,4,4,4,3,3,3,3,22.2,DMBAD202,AD202,AD202476
4,4,4,4,3,3,3,3,22.2,DMBAD202,AD202,AD202454
4,4,4,4,3,3,3,3,22.2,DMBAD202,AD202,AD202434
4,4,4,4,3,3,3,3,22.2,DMBAD202,AD202,AD202423
4,4,4,4,3,4,3,5,22.2,DMBAD202,AD202,AD202426
5,3,4,3,3,3,2,3,22.2,DMBAD202,AD202,AD202441
4,4,4,4,3,3,3,3,22.2,DMBAD202,AD202,AD202367
5,3,5,3,3,3,2,3,22.2,DMBAD202,AD202,AD202457
5,3,4,3,3,3,2,3,22.2,DMBAD202,AD202,AD202493
4,4,4,4,3,3,3,3,22.2,DMBAD202,AD202,AD202372
4,4,4,4,3,3,3,3,22.2,DMBAD202,AD202,AD202477
4,4,4,4,3,3,3,3,22.2,DMBAD202,AD202,AD202483
5,3,4,4,2,2,2,4,22.2,DMBAD202,AD202,AD202456
5,3,5,3,3,3,2,3,22.2,DMBAD202,AD202,AD202453
5,3,4,4,3,3,2,3,22.2,DMBAD202,AD202,AD202440
5,3,4,4,3,3,2,3,22.2,DMBAD202,AD202,AD202356
4,4,4,4,3,3,3,3,22.2,DMBAD202,AD202,AD202345
5,3,4,3,3,3,2,3,22.2,DMBAD202,AD202,AD202482
4,4,4,4,3,3,3,3,22.2,DMBAD202,AD202,AD202487
5,3,4,4,3,3,2,3,22.2,DMBAD202,AD202,AD202407
4,4,4,4,3,3,3,5,22.2,DMBAD202,AD202,AD202466
5,3,4,4,3,3,2,3,22.2,DMBAD202,AD202,AD202466
4,4,4,4,3,3,3,3,22.2,DMBAD202,AD202,AD202443
4,4,4,4,3,3,3,3,22.2,DMBAD202,AD202,AD202487
4,4,4,4,3,3,3,3,22.2,DMBAD202,AD202,AD202377
5,3,5,4,3,3,2,3,22.2,DMBAD202,AD202,AD202395
4,4,4,4,3,3,2,3,22.2,DMBAD202,AD202,AD202409
4,4,4,4,3,5,3,5,22.2,DMBAD202,AD202,AD202392
5,3,4,4,3,3,2,3,22.2,DMBAD202,AD202,AD202352
