raclogico.i,abstracao.i,racmath.i,stats.i,anadados.i,anagraf.i,anapreditiva.i,ferramentavisual.i,semestre,turma,entrada,matricula,raclogico.f,abstracao.f,racmath.f,stats.f,anadados.f,anagraf.f,anapreditiva.f,ferramentavisual.f
5,4,4,4,5,5,5,5,55.5,PMLEC222,EC222,EC222282,4,4,4,4,3,3,2,3
5,4,4,4,5,5,5,5,55.5,PMLEC222,EC222,EC222202,4,4,4,4,3,3,3,4
5,5,5,5,5,5,5,5,55.5,PMLEC222,EC222,EC22226,5,5,5,3,3,3,2,4
5,5,5,5,5,5,5,5,55.5,PMLEC222,EC222,EC22261,5,5,5,3,3,3,2,4
5,5,5,5,5,5,5,5,55.5,PMLEC222,EC222,EC22254,4,4,4,4,3,3,3,4
5,5,5,5,4,5,5,5,55.5,PMLEC222,EC222,EC22258,4,4,4,4,3,3,3,4
5,5,5,5,5,5,5,5,55.5,PMLAD222,AD222,AD222465,4,4,4,4,3,3,3,3
5,5,5,5,5,5,4,5,55.5,PMLAD222,AD222,AD222452,5,5,5,3,3,3,2,3
5,5,5,5,4,5,4,5,55.5,PMLAD222,AD222,AD222402,4,4,4,4,3,3,3,3
5,5,5,5,4,5,4,5,55.5,PMLAD222,AD222,AD222408,4,4,4,4,3,3,3,5
5,5,5,5,4,5,4,5,55.5,PMLAD222,AD222,AD222489,4,4,4,4,3,3,3,5
5,5,5,5,4,5,4,5,55.5,PMLAD222,AD222,AD222411,4,4,4,4,3,3,3,3
5,5,5,5,4,5,4,5,55.5,PMLAD222,AD222,AD222481,4,4,4,4,3,3,3,3
5,5,4,5,5,5,5,5,55.5,PMLAD222,AD222,AD222494,5,5,4,3,3,3,2,3
5,5,4,4,5,5,5,5,55.5,PMLAD222,AD222,AD222445,4,4,4,4,3,3,3,3
5,5,4,5,5,5,5,5,55.5,PMLAD222,AD222,AD222488,5,5,4,3,3,3,2,3
5,5,5,5,5,5,5,5,55.5,PMLAD222,AD222,AD222477,5,5,5,3,3,3,2,3
5,5,4,4,5,5,5,5,55.5,PMLAD222,AD222,AD222428,5,5,4,4,3,3,2,3
4,5,4,4,5,5,5,5,55.5,PMLAD222,AD222,AD222481,4,4,4,4,3,3,3,3
5,5,4,4,5,5,5,5,55.5,PMLAD222,AD222,AD222405,5,3,4,4,3,3,2,3
5,4,4,4,5,5,5,5,55.5,DMBEC201,EC201,EC201497,4,4,4,4,3,3,3,5
5,5,4,4,5,5,5,5,55.5,DMBEC201,EC201,EC201445,5,3,4,4,3,3,2,3
5,4,4,4,5,5,5,5,55.5,DMBEC201,EC201,EC201428,4,4,4,4,3,3,3,3
5,5,5,5,5,5,5,5,55.5,DMBAD201,AD201,AD201405,5,3,5,3,3,3,2,3
5,4,4,4,5,5,5,5,55.5,DMBAD201,AD201,AD201487,4,4,4,4,3,3,3,3
5,4,4,4,5,5,5,5,55.5,DMBAD201,AD201,AD201480,4,4,4,4,3,3,3,3
5,5,5,5,5,5,5,5,55.5,DMBAD201,AD201,AD201405,5,3,5,3,3,3,2,3
5,4,4,4,5,5,5,5,55.5,DMBEC202,EC202,EC202480,4,4,4,4,3,3,3,3
4,4,4,4,5,5,5,5,55.5,DMBEC202,EC202,EC202459,4,4,4,4,3,3,3,3
4,4,4,4,5,5,5,5,55.5,DMBAD202,AD202,AD202476,4,4,4,4,3,3,3,3
4,4,4,4,5,5,5,5,55.5,DMBAD202,AD202,AD202454,4,4,4,4,3,3,3,3
4,4,4,4,5,5,5,5,55.5,DMBAD202,AD202,AD202454,4,4,4,4,3,3,3,3
4,4,4,4,5,4,5,5,55.5,DMBAD202,AD202,AD202426,4,4,4,4,3,4,3,5
5,5,4,5,5,5,5,5,55.5,DMBAD202,AD202,AD202441,5,3,4,3,3,3,2,3
5,5,5,5,5,5,5,5,55.5,DMBAD202,AD202,AD202457,4,4,4,4,3,3,3,5
5,5,4,5,5,5,5,5,55.5,DMBAD202,AD202,AD202495,4,4,4,4,3,3,3,5
5,4,4,4,5,5,5,5,55.5,DMBAD202,AD202,AD202477,4,4,4,4,3,3,3,3
5,5,4,4,5,5,5,4,55.5,DMBAD202,AD202,AD202456,5,3,4,4,2,2,2,4
5,5,4,4,5,5,5,5,55.5,DMBAD202,AD202,AD202440,4,4,4,4,3,3,3,3
5,5,4,5,5,5,5,5,55.5,DMBAD202,AD202,AD202482,5,3,4,3,3,3,2,3
5,5,4,4,5,5,5,5,55.5,DMBAD202,AD202,AD202487,4,4,4,4,3,3,3,3
5,5,4,4,5,5,5,5,55.5,DMBAD202,AD202,AD202407,5,3,4,4,3,3,2,3
5,5,4,4,5,5,5,5,55.5,DMBAD202,AD202,AD202466,4,4,4,4,3,3,3,5
5,5,4,4,5,5,5,5,55.5,DMBAD202,AD202,AD202466,4,4,4,4,3,3,3,5
5,5,4,4,5,5,5,5,55.5,DMBAD202,AD202,AD202487,4,4,4,4,3,3,3,3
5,5,4,4,5,5,5,5,55.5,DMBAD202,AD202,AD202409,4,4,4,4,3,3,2,3
4,4,4,4,5,5,5,5,55.5,DMBAD202,AD202,AD202481,4,4,4,4,3,3,2,3
